Gene names,Alpha A30P_day_1, Alpha A53T_day_1, Control _day_1
Octbeta2R,#DIV/0!,#DIV/0!,#DIV/0!
Su(var)3-7,#DIV/0!,#DIV/0!,#DIV/0!
mRpS10,0.48559,0.42873,0.45716
msps,3.337145,1.1545,2.2458225
Pxd,#DIV/0!,#DIV/0!,#DIV/0!
osa,0.264025,#DIV/0!,#DIV/0!
CG7956-RA,1.777,3.9042,2.8406
Irk2,#DIV/0!,#DIV/0!,#DIV/0!
nct,#DIV/0!,#DIV/0!,#DIV/0!
CG4673;Npl4,0.293135,0.831365,0.56225
tmod,#DIV/0!,#DIV/0!,#DIV/0!
CG31004;mesh,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG1307,#DIV/0!,0.469905,#DIV/0!
PsGEF,#DIV/0!,#DIV/0!,#DIV/0!
tyf,#DIV/0!,#DIV/0!,#DIV/0!
rb,0.15361,0.55101,0.35231
Cp38,#DIV/0!,#DIV/0!,#DIV/0!
fs(1)h,0.28071,0.52595,0.40333
Imp,#DIV/0!,#DIV/0!,#DIV/0!
gfA,#DIV/0!,#DIV/0!,#DIV/0!
CG17065,#DIV/0!,#DIV/0!,#DIV/0!
GstT3,#DIV/0!,0.31304,#DIV/0!
Tango11,#DIV/0!,#DIV/0!,#DIV/0!
milt,#DIV/0!,#DIV/0!,#DIV/0!
tho2,#DIV/0!,#DIV/0!,#DIV/0!
CG43427,#DIV/0!,#DIV/0!,#DIV/0!
CG1129,0.40236,0.71935,0.560855
CG2982,#DIV/0!,#DIV/0!,#DIV/0!
,0.75402,#DIV/0!,#DIV/0!
Cbp80,0.2847,#DIV/0!,#DIV/0!
Ice,#DIV/0!,#DIV/0!,#DIV/0!
Aats-phe,#DIV/0!,#DIV/0!,#DIV/0!
Peritrophin-A,1.0089,0.80423,0.906565
Fs(2)Ket,0.2299,0.18629,0.208095
pn,#DIV/0!,0.74392,#DIV/0!
Surf4,#DIV/0!,0.50573,#DIV/0!
SNF1A,0.40553,0.56894,0.487235
wbl,0.360345,0.50635,0.4333475
qkr58E-3,#DIV/0!,#DIV/0!,#DIV/0!
Cbl,#DIV/0!,#DIV/0!,#DIV/0!
msta,#DIV/0!,#DIV/0!,#DIV/0!
EG:39E1.2,#DIV/0!,#DIV/0!,#DIV/0!
Pgam5,#DIV/0!,#DIV/0!,#DIV/0!
Ocrl,#DIV/0!,0.20497,#DIV/0!
fs(1)N,#DIV/0!,#DIV/0!,#DIV/0!
noi,0.258415,0.25291,0.2556625
Acp53Ea,#DIV/0!,#DIV/0!,#DIV/0!
Acp62F,#DIV/0!,#DIV/0!,#DIV/0!
crol,#DIV/0!,#DIV/0!,#DIV/0!
Mkk4,0.48393,#DIV/0!,#DIV/0!
Flo,#DIV/0!,1.3967,#DIV/0!
Flo-2,#DIV/0!,#DIV/0!,#DIV/0!
Fim,#DIV/0!,#DIV/0!,#DIV/0!
lic,0.324755,#DIV/0!,#DIV/0!
dco,#DIV/0!,#DIV/0!,#DIV/0!
Kap-alpha1,0.278285,#DIV/0!,#DIV/0!
BCL7-like,#DIV/0!,#DIV/0!,#DIV/0!
eIF2B-beta,#DIV/0!,#DIV/0!,#DIV/0!
EG:125H10.1,0.590085,0.25686,0.4234725
ssx,0.68491,#DIV/0!,#DIV/0!
CG11448,1.228145,0.55542,0.8917825
anon-3B1.2,0.1212315,0.205545,0.16338825
arg,#DIV/0!,#DIV/0!,#DIV/0!
pck,#DIV/0!,#DIV/0!,#DIV/0!
Pp4-19C,#DIV/0!,#DIV/0!,#DIV/0!
CG4045,0.68693,#DIV/0!,#DIV/0!
Sec22,0.88245,0.8306,0.856525
Ate1,0.196415,#DIV/0!,#DIV/0!
EG:131F2.3,0.69313,#DIV/0!,#DIV/0!
CG1315,#DIV/0!,#DIV/0!,#DIV/0!
par-6,#DIV/0!,1.0715,#DIV/0!
RpII33,#DIV/0!,#DIV/0!,#DIV/0!
l(1)10Bb,#DIV/0!,#DIV/0!,#DIV/0!
Src64B,#DIV/0!,#DIV/0!,#DIV/0!
Sgs3,0.0259165,0.11006,0.06798825
Sgs7,0.071893,0.286925,0.179409
nAcRbeta-64B,#DIV/0!,#DIV/0!,#DIV/0!
Rh3,#DIV/0!,#DIV/0!,#DIV/0!
Adf1,0.62404,#DIV/0!,#DIV/0!
,0.0778165,0.1271435,0.10248
,0.0758275,0.0381865,0.057007
,#DIV/0!,#DIV/0!,#DIV/0!
Hsp67Ba,#DIV/0!,#DIV/0!,#DIV/0!
r,0.27239,0.29848,0.285435
alphaTub85E,0.44608,0.2838,0.36494
Tm1,#DIV/0!,#DIV/0!,#DIV/0!
Tm1,#DIV/0!,#DIV/0!,#DIV/0!
Cp19,#DIV/0!,#DIV/0!,#DIV/0!
LvpH,#DIV/0!,#DIV/0!,#DIV/0!
Sgs5,0.73719,#DIV/0!,#DIV/0!
Ald,#DIV/0!,#DIV/0!,#DIV/0!
RpII140,0.523785,0.84361,0.6836975
ry,#DIV/0!,#DIV/0!,#DIV/0!
Fmrf,#DIV/0!,#DIV/0!,#DIV/0!
Fas1,#DIV/0!,#DIV/0!,#DIV/0!
tko,#DIV/0!,#DIV/0!,#DIV/0!
Hsc70-2,#DIV/0!,1.2676,#DIV/0!
phl,#DIV/0!,#DIV/0!,#DIV/0!
Aprt,#DIV/0!,#DIV/0!,#DIV/0!
Pp1-87B;Pp1-13C,0.35869,0.77737,0.56803
RpS26,#DIV/0!,0.19529,#DIV/0!
norpA,#DIV/0!,0.13958,#DIV/0!
Atpalpha,#DIV/0!,0.24949,#DIV/0!
Appl,#DIV/0!,#DIV/0!,#DIV/0!
Fas3,0.69353,#DIV/0!,#DIV/0!
gro,#DIV/0!,#DIV/0!,#DIV/0!
numb,#DIV/0!,#DIV/0!,#DIV/0!
BicD,0.24635,0.67879,0.46257
Pka-C3,#DIV/0!,#DIV/0!,#DIV/0!
ttk,#DIV/0!,#DIV/0!,#DIV/0!
crn,#DIV/0!,#DIV/0!,#DIV/0!
mus209,#DIV/0!,#DIV/0!,#DIV/0!
Fps85D,#DIV/0!,#DIV/0!,#DIV/0!
01-Dec,#DIV/0!,#DIV/0!,#DIV/0!
Gld,0.43954,0.507615,0.4735775
sgg,#DIV/0!,#DIV/0!,#DIV/0!
anon-37Cs,#DIV/0!,#DIV/0!,#DIV/0!
arm,0.81557,0.83898,0.827275
mt:ND1,0.5147,#DIV/0!,#DIV/0!
mt:ND3,#DIV/0!,#DIV/0!,#DIV/0!
mt:ND4,#DIV/0!,#DIV/0!,#DIV/0!
Sxl,#DIV/0!,#DIV/0!,#DIV/0!
up,#DIV/0!,#DIV/0!,#DIV/0!
up,#DIV/0!,#DIV/0!,#DIV/0!
Pepck,0.297725,0.2612,0.2794625
v,#DIV/0!,#DIV/0!,#DIV/0!
G-ialpha65A,1.6324,#DIV/0!,#DIV/0!
Anp,#DIV/0!,#DIV/0!,#DIV/0!
AnnIX,#DIV/0!,#DIV/0!,#DIV/0!
AnnX,#DIV/0!,#DIV/0!,#DIV/0!
Ca-P60A,#DIV/0!,#DIV/0!,#DIV/0!
bam,#DIV/0!,#DIV/0!,#DIV/0!
Cp16,#DIV/0!,#DIV/0!,#DIV/0!
gammaTub23C,3.0182,#DIV/0!,#DIV/0!
mts,#DIV/0!,0.22625,#DIV/0!
Rdl,#DIV/0!,#DIV/0!,#DIV/0!
UbcD6,#DIV/0!,#DIV/0!,#DIV/0!
Arf72A,0.84453,#DIV/0!,#DIV/0!
pum,0.35957,#DIV/0!,#DIV/0!
tud,0.18507,1.708,0.946535
eff,0.524475,0.496915,0.510695
su(f),#DIV/0!,#DIV/0!,#DIV/0!
Fur1,#DIV/0!,#DIV/0!,#DIV/0!
TfIIB,#DIV/0!,#DIV/0!,#DIV/0!
csw,0.60858,0.28302,0.4458
Itp-r83A,0.97108,#DIV/0!,#DIV/0!
Top1,#DIV/0!,#DIV/0!,#DIV/0!
dlg1,#DIV/0!,#DIV/0!,#DIV/0!
dlg1,#DIV/0!,#DIV/0!,#DIV/0!
Gprk2,0.443675,#DIV/0!,#DIV/0!
Gnf1,#DIV/0!,#DIV/0!,#DIV/0!
Ptp99A,#DIV/0!,#DIV/0!,#DIV/0!
Ptp10D,#DIV/0!,#DIV/0!,#DIV/0!
wupA,3.21135,2.2162,2.713775
Def,#DIV/0!,#DIV/0!,#DIV/0!
cin,0.44904,0.41143,0.430235
Bx42,0.460525,#DIV/0!,#DIV/0!
ph-p;ph-d,#DIV/0!,#DIV/0!,#DIV/0!
exd,#DIV/0!,0.24393,#DIV/0!
Arf102F,#DIV/0!,#DIV/0!,#DIV/0!
Arf51F,1.69825,#DIV/0!,#DIV/0!
TfIIFbeta,#DIV/0!,#DIV/0!,#DIV/0!
01-Sep,#DIV/0!,0.56901,#DIV/0!
Moe,#DIV/0!,#DIV/0!,#DIV/0!
dhd,#DIV/0!,#DIV/0!,#DIV/0!
TpnC47D,0.123315,0.169065,0.14619
CanB,1.2164,1.5173,1.36685
CanA1,#DIV/0!,0.32614,#DIV/0!
Pp1alpha-96A,1.2056,#DIV/0!,#DIV/0!
Eip63F-1,#DIV/0!,0.62688,#DIV/0!
Pu,#DIV/0!,#DIV/0!,#DIV/0!
dia,#DIV/0!,#DIV/0!,#DIV/0!
Argk,0.32629,0.37529,0.35079
trpl,0.271345,0.33544,0.3033925
mnb,0.321055,#DIV/0!,#DIV/0!
Taf6,#DIV/0!,0.93282,#DIV/0!
cni,#DIV/0!,#DIV/0!,#DIV/0!
Srp19,#DIV/0!,0.56989,#DIV/0!
Ahcy89E,0.194005,0.48016,0.3370825
dsh,#DIV/0!,0.23384,#DIV/0!
hyd,#DIV/0!,#DIV/0!,#DIV/0!
Pfk,#DIV/0!,#DIV/0!,#DIV/0!
TfIIA-L,#DIV/0!,#DIV/0!,#DIV/0!
alpha-Man-I,#DIV/0!,0.92079,#DIV/0!
Mlp60A,#DIV/0!,#DIV/0!,#DIV/0!
a5,#DIV/0!,#DIV/0!,#DIV/0!
Pbprp5,#DIV/0!,9.7982,#DIV/0!
g,0.26043,#DIV/0!,#DIV/0!
mtSSB,2.4254,1.6584,2.0419
Pros54,0.688345,0.66767,0.6780075
faf,0.24501,0.622465,0.4337375
RpS3A,#DIV/0!,#DIV/0!,#DIV/0!
betaTub85D,#DIV/0!,#DIV/0!,#DIV/0!
140up,1.2998,#DIV/0!,#DIV/0!
CG7740,0.90086,0.56861,0.734735
Lcp9,#DIV/0!,#DIV/0!,#DIV/0!
wibg,#DIV/0!,0.50431,#DIV/0!
primo-1,#DIV/0!,0.90336,#DIV/0!
Stim,0.27298,0.42244,0.34771
Wsck,#DIV/0!,#DIV/0!,#DIV/0!
Pi3K92E,#DIV/0!,#DIV/0!,#DIV/0!
Rh5,#DIV/0!,#DIV/0!,#DIV/0!
mGluRA,#DIV/0!,#DIV/0!,#DIV/0!
SamDC,0.30614,1.319,0.81257
14-3-3epsilon,#DIV/0!,#DIV/0!,#DIV/0!
14-3-3epsilon,#DIV/0!,#DIV/0!,#DIV/0!
14-3-3epsilon,#DIV/0!,#DIV/0!,#DIV/0!
Lcp65Ac,#DIV/0!,1.37115,#DIV/0!
Lcp65Ab1,#DIV/0!,#DIV/0!,#DIV/0!
Lcp65Ag1,#DIV/0!,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,0.79913,#DIV/0!
cpo,1.3372,1.2077,1.27245
r-l,0.393745,0.355945,0.374845
Rbp1,#DIV/0!,#DIV/0!,#DIV/0!
hts,#DIV/0!,#DIV/0!,#DIV/0!
Cpn,1.738,#DIV/0!,#DIV/0!
cact,#DIV/0!,0.50504,#DIV/0!
for,0.21138,0.5066,0.35899
Dr,#DIV/0!,#DIV/0!,#DIV/0!
sas,0.515675,0.806835,0.661255
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Galpha73B,#DIV/0!,#DIV/0!,#DIV/0!
Ssrp,0.51005,#DIV/0!,#DIV/0!
SmB,#DIV/0!,#DIV/0!,#DIV/0!
TfIIFalpha,#DIV/0!,1.9849,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Vm34Ca,#DIV/0!,#DIV/0!,#DIV/0!
Arf84F,#DIV/0!,#DIV/0!,#DIV/0!
ImpL2,1.6261,#DIV/0!,#DIV/0!
hig,#DIV/0!,#DIV/0!,#DIV/0!
fd68A,#DIV/0!,#DIV/0!,#DIV/0!
Hexo1,0.85231,3.5919,2.222105
MEP-1,#DIV/0!,0.687,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Vdup1,#DIV/0!,#DIV/0!,#DIV/0!
,0.44678,#DIV/0!,#DIV/0!
btv,0.79847,#DIV/0!,#DIV/0!
Sema-1a,#DIV/0!,1.3495,#DIV/0!
CG17224-RB,#DIV/0!,#DIV/0!,#DIV/0!
Hil,0.18456,#DIV/0!,#DIV/0!
SRPK,0.73607,#DIV/0!,#DIV/0!
aPKC,0.526555,0.42805,0.4773025
,#DIV/0!,#DIV/0!,#DIV/0!
Dscam,0.26083,0.456275,0.3585525
CG40286-RA,#DIV/0!,#DIV/0!,#DIV/0!
p120ctn,0.29472,1.4861,0.89041
,#DIV/0!,#DIV/0!,#DIV/0!
,0.394105,0.44348,0.4187925
Tao,0.65096,0.56367,0.607315
Pfrx,0.82189,0.99491,0.9084
Myo10A,#DIV/0!,#DIV/0!,#DIV/0!
Imp,#DIV/0!,#DIV/0!,#DIV/0!
CG32699,#DIV/0!,0.40402,#DIV/0!
sgg,#DIV/0!,#DIV/0!,#DIV/0!
CG13366-RB,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
SP1029,0.231715,0.220205,0.22596
,1.1661,#DIV/0!,#DIV/0!
mld,#DIV/0!,#DIV/0!,#DIV/0!
CG17271-RB,#DIV/0!,#DIV/0!,#DIV/0!
Mhcl,0.24779,0.24264,0.245215
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.7654,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mtd,#DIV/0!,#DIV/0!,#DIV/0!
,0.76799,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Dap160,1.001775,1.3418,1.1717875
Myo61F,#DIV/0!,0.81024,#DIV/0!
qua,#DIV/0!,#DIV/0!,#DIV/0!
fliI,0.13145,0.13388,0.132665
anon-i1,#DIV/0!,#DIV/0!,#DIV/0!
b,#DIV/0!,#DIV/0!,#DIV/0!
Snr1,#DIV/0!,#DIV/0!,#DIV/0!
TH1,#DIV/0!,#DIV/0!,#DIV/0!
Stat92E,#DIV/0!,#DIV/0!,#DIV/0!
Deaf1,#DIV/0!,#DIV/0!,#DIV/0!
hk,0.134475,0.364465,0.24947
RhoL,0.45528,0.82401,0.639645
Aph-4,#DIV/0!,0.61666,#DIV/0!
mew,#DIV/0!,#DIV/0!,#DIV/0!
SmF,0.87,0.566785,0.7183925
Iap2,#DIV/0!,#DIV/0!,#DIV/0!
lin19,0.25772,0.670835,0.4642775
Dp,#DIV/0!,#DIV/0!,#DIV/0!
Dsor1,0.46066,0.8509,0.65578
Taf2,#DIV/0!,#DIV/0!,#DIV/0!
e(r),#DIV/0!,#DIV/0!,#DIV/0!
alpha-Man-II,#DIV/0!,#DIV/0!,#DIV/0!
Rbf,#DIV/0!,#DIV/0!,#DIV/0!
RpA-70,#DIV/0!,0.92459,#DIV/0!
Ubp64E,0.98733,2.6096,1.798465
e(y)1,#DIV/0!,#DIV/0!,#DIV/0!
l(2)not,0.17518,#DIV/0!,#DIV/0!
a10,3.0096,#DIV/0!,#DIV/0!
Nos,#DIV/0!,#DIV/0!,#DIV/0!
Prat,#DIV/0!,#DIV/0!,#DIV/0!
PpV,#DIV/0!,#DIV/0!,#DIV/0!
RhoGAP1A,0.782735,0.46074,0.6217375
Cdep,#DIV/0!,0.14661,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG33977-RA,#DIV/0!,0.2668,#DIV/0!
Etl1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.75923,#DIV/0!
yki,#DIV/0!,#DIV/0!,#DIV/0!
Acp54A1,#DIV/0!,#DIV/0!,#DIV/0!
fbl6,#DIV/0!,#DIV/0!,#DIV/0!
Rip11,#DIV/0!,#DIV/0!,#DIV/0!
Myo95E,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
His1:CG33801,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,5.7836,1.827,3.8053
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cpr92A,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RanBPM,0.30959,0.30443,0.30701
,0.80801,0.210776,0.509393
Nf1,#DIV/0!,#DIV/0!,#DIV/0!
7B2,#DIV/0!,#DIV/0!,#DIV/0!
,0.971405,0.63432,0.8028625
pog,#DIV/0!,#DIV/0!,#DIV/0!
CoRest,#DIV/0!,#DIV/0!,#DIV/0!
upd3,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cul-4,0.29597,0.383325,0.3396475
,#DIV/0!,#DIV/0!,#DIV/0!
CG17698-RA,#DIV/0!,0.074609,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG40486-RB,#DIV/0!,#DIV/0!,#DIV/0!
zyd,#DIV/0!,#DIV/0!,#DIV/0!
Dbp80,0.57514,0.349935,0.4625375
LRRK2,#DIV/0!,0.088081,#DIV/0!
Sin3A,1.045995,0.484775,0.765385
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.77877,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
lectin-30A,#DIV/0!,#DIV/0!,#DIV/0!
Rpb12,#DIV/0!,#DIV/0!,#DIV/0!
,1.1556,1.032115,1.0938575
,1.9852,1.327,1.6561
Sfp26Ad,#DIV/0!,#DIV/0!,#DIV/0!
inaF-C,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Nmdar2,#DIV/0!,#DIV/0!,#DIV/0!
,0.465045,0.425,0.4450225
BEST:GH10831,#DIV/0!,#DIV/0!,#DIV/0!
nuf,#DIV/0!,#DIV/0!,#DIV/0!
CG1675,#DIV/0!,#DIV/0!,#DIV/0!
Pde8,#DIV/0!,#DIV/0!,#DIV/0!
gfzf,0.7209,0.43763,0.579265
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Spt-I,#DIV/0!,#DIV/0!,#DIV/0!
pgant5,#DIV/0!,#DIV/0!,#DIV/0!
prod,0.731405,0.45477,0.5930875
Atg9,#DIV/0!,#DIV/0!,#DIV/0!
Rs1,#DIV/0!,#DIV/0!,#DIV/0!
Las,#DIV/0!,#DIV/0!,#DIV/0!
SNF4Agamma,0.64819,1.5962,1.122195
VhaAC45,#DIV/0!,0.60529,#DIV/0!
CAP,0.73816,#DIV/0!,#DIV/0!
Nmda1,#DIV/0!,#DIV/0!,#DIV/0!
CG30190;CG30193,#DIV/0!,#DIV/0!,#DIV/0!
casp,0.382605,#DIV/0!,#DIV/0!
jp,#DIV/0!,0.34355,#DIV/0!
Arc2,#DIV/0!,#DIV/0!,#DIV/0!
Aps,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mRpL18,0.59988,#DIV/0!,#DIV/0!
Obp49a,#DIV/0!,#DIV/0!,#DIV/0!
,2.17225,#DIV/0!,#DIV/0!
Rcd-1,#DIV/0!,#DIV/0!,#DIV/0!
,2.4644,#DIV/0!,#DIV/0!
GstE11,0.58283,0.99006,0.786445
,#DIV/0!,#DIV/0!,#DIV/0!
CG11007,#DIV/0!,0.63762,#DIV/0!
mRpL52,1.0515,0.80316,0.92733
,2.2719,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.62784,#DIV/0!,#DIV/0!
Prx2540-2,#DIV/0!,#DIV/0!,#DIV/0!
EndoG,1.6487,1.3003,1.4745
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Vps25,#DIV/0!,#DIV/0!,#DIV/0!
Atg7,0.41889,0.40028,0.409585
,0.7212,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
synaptogyrin,0.860635,#DIV/0!,#DIV/0!
GstE14,1.2565,1.5589,1.4077
,#DIV/0!,#DIV/0!,#DIV/0!
ClC-b,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Pex11,#DIV/0!,#DIV/0!,#DIV/0!
Rpb5,0.46992,#DIV/0!,#DIV/0!
mRpL41,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cpr47Eg,#DIV/0!,#DIV/0!,#DIV/0!
,0.83469,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mRpL42,1.004175,#DIV/0!,#DIV/0!
Nup50,0.25541,0.35106,0.303235
Mob4,#DIV/0!,#DIV/0!,#DIV/0!
,0.40545,0.39442,0.399935
Spred,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,1.03405,0.95154,0.992795
,#DIV/0!,#DIV/0!,#DIV/0!
Syx7,0.86839,3.5125,2.190445
CG5033,#DIV/0!,#DIV/0!,#DIV/0!
twin,0.31516,0.93957,0.627365
l(2)NC136,1.32,0.6744,0.9972
,#DIV/0!,#DIV/0!,#DIV/0!
mip40,#DIV/0!,#DIV/0!,#DIV/0!
Map60,#DIV/0!,0.52499,#DIV/0!
CG6491,#DIV/0!,0.60343,#DIV/0!
,#DIV/0!,1.0561,#DIV/0!
RpLP0-like,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Ciao1,0.44777,0.390615,0.4191925
,#DIV/0!,#DIV/0!,#DIV/0!
CG7137,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.73579,0.62914,0.682465
CG16804,0.205085,0.25261,0.2288475
Nup44A,#DIV/0!,#DIV/0!,#DIV/0!
,0.233435,0.20114,0.2172875
,0.177505,0.36638,0.2719425
,#DIV/0!,#DIV/0!,#DIV/0!
fusl,#DIV/0!,#DIV/0!,#DIV/0!
Tsp42Ej,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Elp2,#DIV/0!,2.7881,#DIV/0!
Cct1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.35904,#DIV/0!
CG8892-RB,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Tsp42El,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mlt,#DIV/0!,#DIV/0!,#DIV/0!
,0.0999735,0.33337,0.21667175
,0.16616,#DIV/0!,#DIV/0!
scaf,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Spn42Da,#DIV/0!,#DIV/0!,#DIV/0!
Sara,0.51269,0.47784,0.495265
Spn43Aa,0.24063,0.54632,0.393475
Obp56f,#DIV/0!,#DIV/0!,#DIV/0!
Obp51a,#DIV/0!,#DIV/0!,#DIV/0!
Alk,0.18506,#DIV/0!,#DIV/0!
sxc,0.404695,0.24667,0.3256825
BcDNA.GH04637;BcDNA:GH04637,0.28587,0.57431,0.43009
Sema-1b,#DIV/0!,#DIV/0!,#DIV/0!
Eip63E,#DIV/0!,#DIV/0!,#DIV/0!
nito,0.507715,0.465665,0.48669
fat-spondin,0.089631,#DIV/0!,#DIV/0!
Fpps,0.29536,0.42134,0.35835
Ppcs,3.2478,0.63601,1.941905
Mad1,#DIV/0!,#DIV/0!,#DIV/0!
qkr54B,9.3125,0.58147,4.946985
CG11148,#DIV/0!,0.21653,#DIV/0!
bt,#DIV/0!,#DIV/0!,#DIV/0!
heph,0.38892,0.32012,0.35452
,0.930485,#DIV/0!,#DIV/0!
CG1646,#DIV/0!,#DIV/0!,#DIV/0!
btz,#DIV/0!,#DIV/0!,#DIV/0!
exo84,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Mpc1,#DIV/0!,#DIV/0!,#DIV/0!
Aos1,0.28094,0.48259,0.381765
,#DIV/0!,#DIV/0!,#DIV/0!
Csk,0.48006,#DIV/0!,#DIV/0!
CG11870-RD,0.43498,#DIV/0!,#DIV/0!
mdy,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
nAcRalpha-34E,#DIV/0!,#DIV/0!,#DIV/0!
NimB2,#DIV/0!,#DIV/0!,#DIV/0!
BG:DS01368.1,#DIV/0!,0.46581,#DIV/0!
Ca-beta,#DIV/0!,0.57812,#DIV/0!
,0.60174,#DIV/0!,#DIV/0!
Rtnl1,#DIV/0!,#DIV/0!,#DIV/0!
,0.74234,0.69502,0.71868
asparagine-synthetase,#DIV/0!,#DIV/0!,#DIV/0!
,0.29341,0.29662,0.295015
CG15445-RD,#DIV/0!,#DIV/0!,#DIV/0!
lqf,0.76903,0.84524,0.807135
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,1.1388,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.31278,0.38968,0.35123
,#DIV/0!,#DIV/0!,#DIV/0!
Lmpt,#DIV/0!,#DIV/0!,#DIV/0!
Fibp,0.24208,#DIV/0!,#DIV/0!
Alr,#DIV/0!,#DIV/0!,#DIV/0!
chas,#DIV/0!,#DIV/0!,#DIV/0!
msn,0.90605,0.4742,0.690125
trio,#DIV/0!,0.46842,#DIV/0!
MESK2,0.24539,0.794675,0.5200325
AP-1gamma,0.32865,#DIV/0!,#DIV/0!
spoon,#DIV/0!,#DIV/0!,#DIV/0!
Syx4,#DIV/0!,#DIV/0!,#DIV/0!
CG32809,#DIV/0!,#DIV/0!,#DIV/0!
DAAM,#DIV/0!,#DIV/0!,#DIV/0!
Rab4,#DIV/0!,#DIV/0!,#DIV/0!
,0.60627,#DIV/0!,#DIV/0!
CG17528,#DIV/0!,#DIV/0!,#DIV/0!
CG12567-RA;CG12567-RD,0.4488,#DIV/0!,#DIV/0!
Tim17b,#DIV/0!,#DIV/0!,#DIV/0!
CG40470-RA,#DIV/0!,#DIV/0!,#DIV/0!
Sema-5c,#DIV/0!,#DIV/0!,#DIV/0!
lola,#DIV/0!,2.1117,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Tbh,1.0557,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Doa,#DIV/0!,#DIV/0!,#DIV/0!
Doa,0.211105,0.282055,0.24658
unk,#DIV/0!,#DIV/0!,#DIV/0!
mod(mdg4),0.61432,0.8407,0.72751
CG33098-RB,#DIV/0!,#DIV/0!,#DIV/0!
Mical,0.28181,0.335585,0.3086975
eca;p24-2,1.0678,0.97894,1.02337
tacc,0.90825,0.63999,0.77412
CG10517,#DIV/0!,#DIV/0!,#DIV/0!
Zasp66,#DIV/0!,#DIV/0!,#DIV/0!
