Gene names,Alpha A30P_day_10, Alpha A53T_day_10, Control _day_10
ssh,#DIV/0!,#DIV/0!,#DIV/0!
stau,#DIV/0!,#DIV/0!,#DIV/0!
lolal,0.6766325,0.70142875,0.689030625
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Tim10-RA,#DIV/0!,#DIV/0!,#DIV/0!
G-salpha60A;Galphas,#DIV/0!,#DIV/0!,#DIV/0!
l(2)01289,#DIV/0!,#DIV/0!,#DIV/0!
CSN4,#DIV/0!,#DIV/0!,#DIV/0!
Mlf,#DIV/0!,#DIV/0!,#DIV/0!
Kr-h2,#DIV/0!,#DIV/0!,#DIV/0!
Piezo,0.66780875,0.684413125,0.676110938
GlcAT-S,#DIV/0!,#DIV/0!,#DIV/0!
yuri,#DIV/0!,#DIV/0!,#DIV/0!
Dif,#DIV/0!,#DIV/0!,#DIV/0!
CG14397-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG2131,#DIV/0!,#DIV/0!,#DIV/0!
galectin,#DIV/0!,#DIV/0!,#DIV/0!
E(bx),0.6474275,0.70940625,0.678416875
CG7611,#DIV/0!,#DIV/0!,#DIV/0!
Pop2,#DIV/0!,#DIV/0!,#DIV/0!
pHCl,#DIV/0!,#DIV/0!,#DIV/0!
Dscam2,0.637325,0.6432425,0.64028375
Snmp2,#DIV/0!,#DIV/0!,#DIV/0!
syd,0.41090375,0.407475625,0.409189688
Zasp66,#DIV/0!,#DIV/0!,#DIV/0!
CG5021,#DIV/0!,#DIV/0!,#DIV/0!
TfIIEbeta,#DIV/0!,#DIV/0!,#DIV/0!
mp,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Octbeta2R,#DIV/0!,#DIV/0!,#DIV/0!
Su(var)3-7,#DIV/0!,#DIV/0!,#DIV/0!
mRpS10,0.442945,0.4500525,0.44649875
msps,1.70016125,1.972991875,1.836576563
Pxd,#DIV/0!,#DIV/0!,#DIV/0!
osa,#DIV/0!,#DIV/0!,#DIV/0!
CG7956-RA,3.3724,3.1065,3.23945
Irk2,#DIV/0!,#DIV/0!,#DIV/0!
nct,#DIV/0!,#DIV/0!,#DIV/0!
CG4673;Npl4,0.6968075,0.62952875,0.663168125
tmod,#DIV/0!,#DIV/0!,#DIV/0!
CG31004;mesh,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG1307,#DIV/0!,#DIV/0!,#DIV/0!
PsGEF,#DIV/0!,#DIV/0!,#DIV/0!
tyf,#DIV/0!,#DIV/0!,#DIV/0!
rb,0.45166,0.401985,0.4268225
Cp38,#DIV/0!,#DIV/0!,#DIV/0!
fs(1)h,0.46464,0.433985,0.4493125
Imp,#DIV/0!,#DIV/0!,#DIV/0!
gfA,#DIV/0!,#DIV/0!,#DIV/0!
CG17065,#DIV/0!,#DIV/0!,#DIV/0!
GstT3,#DIV/0!,#DIV/0!,#DIV/0!
Tango11,#DIV/0!,#DIV/0!,#DIV/0!
milt,#DIV/0!,#DIV/0!,#DIV/0!
tho2,#DIV/0!,#DIV/0!,#DIV/0!
CG43427,#DIV/0!,#DIV/0!,#DIV/0!
CG1129,0.6401025,0.60047875,0.620290625
CG2982,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cbp80,#DIV/0!,#DIV/0!,#DIV/0!
Ice,#DIV/0!,#DIV/0!,#DIV/0!
Aats-phe,#DIV/0!,#DIV/0!,#DIV/0!
Peritrophin-A,0.8553975,0.88098125,0.868189375
Fs(2)Ket,0.1971925,0.20264375,0.199918125
pn,#DIV/0!,#DIV/0!,#DIV/0!
Surf4,#DIV/0!,#DIV/0!,#DIV/0!
SNF1A,0.5280875,0.50766125,0.517874375
wbl,0.46984875,0.451598125,0.460723438
qkr58E-3,#DIV/0!,#DIV/0!,#DIV/0!
Cbl,#DIV/0!,#DIV/0!,#DIV/0!
msta,#DIV/0!,#DIV/0!,#DIV/0!
EG:39E1.2,#DIV/0!,#DIV/0!,#DIV/0!
Pgam5,#DIV/0!,#DIV/0!,#DIV/0!
Ocrl,#DIV/0!,#DIV/0!,#DIV/0!
fs(1)N,#DIV/0!,#DIV/0!,#DIV/0!
noi,0.25428625,0.254974375,0.254630313
Acp53Ea,#DIV/0!,#DIV/0!,#DIV/0!
Acp62F,#DIV/0!,#DIV/0!,#DIV/0!
crol,#DIV/0!,#DIV/0!,#DIV/0!
Mkk4,#DIV/0!,#DIV/0!,#DIV/0!
Flo,#DIV/0!,#DIV/0!,#DIV/0!
Flo-2,#DIV/0!,#DIV/0!,#DIV/0!
Fim,#DIV/0!,#DIV/0!,#DIV/0!
lic,#DIV/0!,#DIV/0!,#DIV/0!
dco,#DIV/0!,#DIV/0!,#DIV/0!
Kap-alpha1,#DIV/0!,#DIV/0!,#DIV/0!
BCL7-like,#DIV/0!,#DIV/0!,#DIV/0!
eIF2B-beta,#DIV/0!,#DIV/0!,#DIV/0!
EG:125H10.1,0.34016625,0.381819375,0.360992813
ssx,#DIV/0!,#DIV/0!,#DIV/0!
CG11448,0.72360125,0.807691875,0.765646563
anon-3B1.2,0.184466625,0.173927438,0.179197031
arg,#DIV/0!,#DIV/0!,#DIV/0!
pck,#DIV/0!,#DIV/0!,#DIV/0!
Pp4-19C,#DIV/0!,#DIV/0!,#DIV/0!
CG4045,#DIV/0!,#DIV/0!,#DIV/0!
Sec22,0.8435625,0.85004375,0.846803125
Ate1,#DIV/0!,#DIV/0!,#DIV/0!
EG:131F2.3,#DIV/0!,#DIV/0!,#DIV/0!
CG1315,#DIV/0!,#DIV/0!,#DIV/0!
par-6,#DIV/0!,#DIV/0!,#DIV/0!
RpII33,#DIV/0!,#DIV/0!,#DIV/0!
l(1)10Bb,#DIV/0!,#DIV/0!,#DIV/0!
Src64B,#DIV/0!,#DIV/0!,#DIV/0!
Sgs3,0.089024125,0.078506188,0.083765156
Sgs7,0.233167,0.206288,0.2197275
nAcRbeta-64B,#DIV/0!,#DIV/0!,#DIV/0!
Rh3,#DIV/0!,#DIV/0!,#DIV/0!
Adf1,#DIV/0!,#DIV/0!,#DIV/0!
,0.11481175,0.108645875,0.111728813
,0.04759675,0.052301875,0.049949313
,#DIV/0!,#DIV/0!,#DIV/0!
Hsp67Ba,#DIV/0!,#DIV/0!,#DIV/0!
r,0.2919575,0.28869625,0.290326875
alphaTub85E,0.32437,0.344655,0.3345125
Tm1,#DIV/0!,#DIV/0!,#DIV/0!
Tm1,#DIV/0!,#DIV/0!,#DIV/0!
Cp19,#DIV/0!,#DIV/0!,#DIV/0!
LvpH,#DIV/0!,#DIV/0!,#DIV/0!
Sgs5,#DIV/0!,#DIV/0!,#DIV/0!
Ald,#DIV/0!,#DIV/0!,#DIV/0!
RpII140,0.76365375,0.723675625,0.743664688
ry,#DIV/0!,#DIV/0!,#DIV/0!
Fmrf,#DIV/0!,#DIV/0!,#DIV/0!
Fas1,#DIV/0!,#DIV/0!,#DIV/0!
tko,#DIV/0!,#DIV/0!,#DIV/0!
Hsc70-2,#DIV/0!,#DIV/0!,#DIV/0!
phl,#DIV/0!,#DIV/0!,#DIV/0!
Aprt,#DIV/0!,#DIV/0!,#DIV/0!
Pp1-87B;Pp1-13C,0.6727,0.620365,0.6465325
RpS26,#DIV/0!,#DIV/0!,#DIV/0!
norpA,#DIV/0!,#DIV/0!,#DIV/0!
Atpalpha,#DIV/0!,#DIV/0!,#DIV/0!
Appl,#DIV/0!,#DIV/0!,#DIV/0!
Fas3,#DIV/0!,#DIV/0!,#DIV/0!
gro,#DIV/0!,#DIV/0!,#DIV/0!
numb,#DIV/0!,#DIV/0!,#DIV/0!
BicD,0.57068,0.516625,0.5436525
Pka-C3,#DIV/0!,#DIV/0!,#DIV/0!
ttk,#DIV/0!,#DIV/0!,#DIV/0!
crn,#DIV/0!,#DIV/0!,#DIV/0!
mus209,#DIV/0!,#DIV/0!,#DIV/0!
Fps85D,#DIV/0!,#DIV/0!,#DIV/0!
01-Dec,#DIV/0!,#DIV/0!,#DIV/0!
Gld,0.49059625,0.482086875,0.486341563
sgg,#DIV/0!,#DIV/0!,#DIV/0!
anon-37Cs,#DIV/0!,#DIV/0!,#DIV/0!
arm,0.8331275,0.83020125,0.831664375
mt:ND1,#DIV/0!,#DIV/0!,#DIV/0!
mt:ND3,#DIV/0!,#DIV/0!,#DIV/0!
mt:ND4,#DIV/0!,#DIV/0!,#DIV/0!
Sxl,#DIV/0!,#DIV/0!,#DIV/0!
up,#DIV/0!,#DIV/0!,#DIV/0!
up,#DIV/0!,#DIV/0!,#DIV/0!
Pepck,0.27033125,0.274896875,0.272614063
v,#DIV/0!,#DIV/0!,#DIV/0!
G-ialpha65A,#DIV/0!,#DIV/0!,#DIV/0!
Anp,#DIV/0!,#DIV/0!,#DIV/0!
AnnIX,#DIV/0!,#DIV/0!,#DIV/0!
AnnX,#DIV/0!,#DIV/0!,#DIV/0!
Ca-P60A,#DIV/0!,#DIV/0!,#DIV/0!
bam,#DIV/0!,#DIV/0!,#DIV/0!
Cp16,#DIV/0!,#DIV/0!,#DIV/0!
gammaTub23C,#DIV/0!,#DIV/0!,#DIV/0!
mts,#DIV/0!,#DIV/0!,#DIV/0!
Rdl,#DIV/0!,#DIV/0!,#DIV/0!
UbcD6,#DIV/0!,#DIV/0!,#DIV/0!
Arf72A,#DIV/0!,#DIV/0!,#DIV/0!
pum,#DIV/0!,#DIV/0!,#DIV/0!
tud,1.3272675,1.13690125,1.232084375
eff,0.503805,0.50725,0.5055275
su(f),#DIV/0!,#DIV/0!,#DIV/0!
Fur1,#DIV/0!,#DIV/0!,#DIV/0!
TfIIB,#DIV/0!,#DIV/0!,#DIV/0!
csw,0.36441,0.405105,0.3847575
Itp-r83A,#DIV/0!,#DIV/0!,#DIV/0!
Top1,#DIV/0!,#DIV/0!,#DIV/0!
dlg1,#DIV/0!,#DIV/0!,#DIV/0!
dlg1,#DIV/0!,#DIV/0!,#DIV/0!
Gprk2,#DIV/0!,#DIV/0!,#DIV/0!
Gnf1,#DIV/0!,#DIV/0!,#DIV/0!
Ptp99A,#DIV/0!,#DIV/0!,#DIV/0!
Ptp10D,#DIV/0!,#DIV/0!,#DIV/0!
wupA,2.4649875,2.58938125,2.527184375
Def,#DIV/0!,#DIV/0!,#DIV/0!
cin,0.4208325,0.42553375,0.423183125
Bx42,#DIV/0!,#DIV/0!,#DIV/0!
ph-p;ph-d,#DIV/0!,#DIV/0!,#DIV/0!
exd,#DIV/0!,#DIV/0!,#DIV/0!
Arf102F,#DIV/0!,#DIV/0!,#DIV/0!
Arf51F,#DIV/0!,#DIV/0!,#DIV/0!
TfIIFbeta,#DIV/0!,#DIV/0!,#DIV/0!
01-Sep,#DIV/0!,#DIV/0!,#DIV/0!
Moe,#DIV/0!,#DIV/0!,#DIV/0!
dhd,#DIV/0!,#DIV/0!,#DIV/0!
TpnC47D,0.1576275,0.15190875,0.154768125
CanB,1.442075,1.4044625,1.42326875
CanA1,#DIV/0!,#DIV/0!,#DIV/0!
Pp1alpha-96A,#DIV/0!,#DIV/0!,#DIV/0!
Eip63F-1,#DIV/0!,#DIV/0!,#DIV/0!
Pu,#DIV/0!,#DIV/0!,#DIV/0!
dia,#DIV/0!,#DIV/0!,#DIV/0!
Argk,0.36304,0.356915,0.3599775
trpl,0.31941625,0.311404375,0.315410313
mnb,#DIV/0!,#DIV/0!,#DIV/0!
Taf6,#DIV/0!,#DIV/0!,#DIV/0!
cni,#DIV/0!,#DIV/0!,#DIV/0!
Srp19,#DIV/0!,#DIV/0!,#DIV/0!
Ahcy89E,0.40862125,0.372851875,0.390736563
dsh,#DIV/0!,#DIV/0!,#DIV/0!
hyd,#DIV/0!,#DIV/0!,#DIV/0!
Pfk,#DIV/0!,#DIV/0!,#DIV/0!
TfIIA-L,#DIV/0!,#DIV/0!,#DIV/0!
alpha-Man-I,#DIV/0!,#DIV/0!,#DIV/0!
Mlp60A,#DIV/0!,#DIV/0!,#DIV/0!
a5,#DIV/0!,#DIV/0!,#DIV/0!
Pbprp5,#DIV/0!,#DIV/0!,#DIV/0!
g,#DIV/0!,#DIV/0!,#DIV/0!
mtSSB,1.85015,1.946025,1.8980875
Pros54,0.67283875,0.675423125,0.674130938
faf,0.52810125,0.480919375,0.504510313
RpS3A,#DIV/0!,#DIV/0!,#DIV/0!
betaTub85D,#DIV/0!,#DIV/0!,#DIV/0!
140up,#DIV/0!,#DIV/0!,#DIV/0!
CG7740,0.6516725,0.69320375,0.672438125
Lcp9,#DIV/0!,#DIV/0!,#DIV/0!
wibg,#DIV/0!,#DIV/0!,#DIV/0!
primo-1,#DIV/0!,#DIV/0!,#DIV/0!
Stim,0.385075,0.3663925,0.37573375
Wsck,#DIV/0!,#DIV/0!,#DIV/0!
Pi3K92E,#DIV/0!,#DIV/0!,#DIV/0!
Rh5,#DIV/0!,#DIV/0!,#DIV/0!
mGluRA,#DIV/0!,#DIV/0!,#DIV/0!
SamDC,1.065785,0.9391775,1.00248125
14-3-3epsilon,#DIV/0!,#DIV/0!,#DIV/0!
14-3-3epsilon,#DIV/0!,#DIV/0!,#DIV/0!
14-3-3epsilon,#DIV/0!,#DIV/0!,#DIV/0!
Lcp65Ac,#DIV/0!,#DIV/0!,#DIV/0!
Lcp65Ab1,#DIV/0!,#DIV/0!,#DIV/0!
Lcp65Ag1,#DIV/0!,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!,#DIV/0!
cpo,1.240075,1.2562625,1.24816875
r-l,0.365395,0.37012,0.3677575
Rbp1,#DIV/0!,#DIV/0!,#DIV/0!
hts,#DIV/0!,#DIV/0!,#DIV/0!
Cpn,#DIV/0!,#DIV/0!,#DIV/0!
cact,#DIV/0!,#DIV/0!,#DIV/0!
for,0.432795,0.3958925,0.41434375
Dr,#DIV/0!,#DIV/0!,#DIV/0!
sas,0.734045,0.69765,0.7158475
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Galpha73B,#DIV/0!,#DIV/0!,#DIV/0!
Ssrp,#DIV/0!,#DIV/0!,#DIV/0!
SmB,#DIV/0!,#DIV/0!,#DIV/0!
TfIIFalpha,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Vm34Ca,#DIV/0!,#DIV/0!,#DIV/0!
Arf84F,#DIV/0!,#DIV/0!,#DIV/0!
ImpL2,#DIV/0!,#DIV/0!,#DIV/0!
hig,#DIV/0!,#DIV/0!,#DIV/0!
fd68A,#DIV/0!,#DIV/0!,#DIV/0!
Hexo1,2.9070025,2.56455375,2.735778125
MEP-1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Vdup1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
btv,#DIV/0!,#DIV/0!,#DIV/0!
Sema-1a,#DIV/0!,#DIV/0!,#DIV/0!
CG17224-RB,#DIV/0!,#DIV/0!,#DIV/0!
Hil,#DIV/0!,#DIV/0!,#DIV/0!
SRPK,#DIV/0!,#DIV/0!,#DIV/0!
aPKC,0.45267625,0.464989375,0.458832813
,#DIV/0!,#DIV/0!,#DIV/0!
Dscam,0.40741375,0.382983125,0.395198438
CG40286-RA,#DIV/0!,#DIV/0!,#DIV/0!
p120ctn,1.188255,1.0393325,1.11379375
,#DIV/0!,#DIV/0!,#DIV/0!
,0.43113625,0.424964375,0.428050313
Tao,0.5854925,0.59640375,0.590948125
Pfrx,0.951655,0.9300275,0.94084125
Myo10A,#DIV/0!,#DIV/0!,#DIV/0!
Imp,#DIV/0!,#DIV/0!,#DIV/0!
CG32699,#DIV/0!,#DIV/0!,#DIV/0!
sgg,#DIV/0!,#DIV/0!,#DIV/0!
CG13366-RB,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
SP1029,0.2230825,0.22452125,0.223801875
,#DIV/0!,#DIV/0!,#DIV/0!
mld,#DIV/0!,#DIV/0!,#DIV/0!
CG17271-RB,#DIV/0!,#DIV/0!,#DIV/0!
Mhcl,0.2439275,0.24457125,0.244249375
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mtd,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Dap160,1.25679375,1.214290625,1.235542188
Myo61F,#DIV/0!,#DIV/0!,#DIV/0!
qua,#DIV/0!,#DIV/0!,#DIV/0!
fliI,0.1332725,0.13296875,0.133120625
anon-i1,#DIV/0!,#DIV/0!,#DIV/0!
b,#DIV/0!,#DIV/0!,#DIV/0!
Snr1,#DIV/0!,#DIV/0!,#DIV/0!
TH1,#DIV/0!,#DIV/0!,#DIV/0!
Stat92E,#DIV/0!,#DIV/0!,#DIV/0!
Deaf1,#DIV/0!,#DIV/0!,#DIV/0!
hk,0.3069675,0.27821875,0.292593125
RhoL,0.7318275,0.68573625,0.708781875
Aph-4,#DIV/0!,#DIV/0!,#DIV/0!
mew,#DIV/0!,#DIV/0!,#DIV/0!
SmF,0.64258875,0.680490625,0.661539688
Iap2,#DIV/0!,#DIV/0!,#DIV/0!
lin19,0.56755625,0.515916875,0.541736563
Dp,#DIV/0!,#DIV/0!,#DIV/0!
Dsor1,0.75334,0.70456,0.72895
Taf2,#DIV/0!,#DIV/0!,#DIV/0!
e(r),#DIV/0!,#DIV/0!,#DIV/0!
alpha-Man-II,#DIV/0!,#DIV/0!,#DIV/0!
Rbf,#DIV/0!,#DIV/0!,#DIV/0!
RpA-70,#DIV/0!,#DIV/0!,#DIV/0!
Ubp64E,2.2040325,2.00124875,2.102640625
e(y)1,#DIV/0!,#DIV/0!,#DIV/0!
l(2)not,#DIV/0!,#DIV/0!,#DIV/0!
a10,#DIV/0!,#DIV/0!,#DIV/0!
Nos,#DIV/0!,#DIV/0!,#DIV/0!
Prat,#DIV/0!,#DIV/0!,#DIV/0!
PpV,#DIV/0!,#DIV/0!,#DIV/0!
RhoGAP1A,0.54123875,0.581488125,0.561363438
Cdep,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG33977-RA,#DIV/0!,#DIV/0!,#DIV/0!
Etl1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
yki,#DIV/0!,#DIV/0!,#DIV/0!
Acp54A1,#DIV/0!,#DIV/0!,#DIV/0!
fbl6,#DIV/0!,#DIV/0!,#DIV/0!
Rip11,#DIV/0!,#DIV/0!,#DIV/0!
Myo95E,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
His1:CG33801,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,2.81615,3.310725,3.0634375
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cpr92A,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RanBPM,0.30572,0.306365,0.3060425
,0.3600845,0.43473875,0.397411625
Nf1,#DIV/0!,#DIV/0!,#DIV/0!
7B2,#DIV/0!,#DIV/0!,#DIV/0!
,0.71859125,0.760726875,0.739659063
pog,#DIV/0!,#DIV/0!,#DIV/0!
CoRest,#DIV/0!,#DIV/0!,#DIV/0!
upd3,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cul-4,0.36148625,0.350566875,0.356026563
,#DIV/0!,#DIV/0!,#DIV/0!
CG17698-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG40486-RB,#DIV/0!,#DIV/0!,#DIV/0!
zyd,#DIV/0!,#DIV/0!,#DIV/0!
Dbp80,0.40623625,0.434386875,0.420311563
LRRK2,#DIV/0!,#DIV/0!,#DIV/0!
Sin3A,0.62508,0.6952325,0.66015625
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
lectin-30A,#DIV/0!,#DIV/0!,#DIV/0!
Rpb12,#DIV/0!,#DIV/0!,#DIV/0!
,1.06298625,1.078421875,1.070704063
,1.49155,1.573825,1.5326875
Sfp26Ad,#DIV/0!,#DIV/0!,#DIV/0!
inaF-C,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Nmdar2,#DIV/0!,#DIV/0!,#DIV/0!
,0.43501125,0.440016875,0.437514063
BEST:GH10831,#DIV/0!,#DIV/0!,#DIV/0!
nuf,#DIV/0!,#DIV/0!,#DIV/0!
CG1675,#DIV/0!,#DIV/0!,#DIV/0!
Pde8,#DIV/0!,#DIV/0!,#DIV/0!
gfzf,0.5084475,0.54385625,0.526151875
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Spt-I,#DIV/0!,#DIV/0!,#DIV/0!
pgant5,#DIV/0!,#DIV/0!,#DIV/0!
prod,0.52392875,0.558508125,0.541218438
Atg9,#DIV/0!,#DIV/0!,#DIV/0!
Rs1,#DIV/0!,#DIV/0!,#DIV/0!
Las,#DIV/0!,#DIV/0!,#DIV/0!
SNF4Agamma,1.3591975,1.24069625,1.299946875
VhaAC45,#DIV/0!,#DIV/0!,#DIV/0!
CAP,#DIV/0!,#DIV/0!,#DIV/0!
Nmda1,#DIV/0!,#DIV/0!,#DIV/0!
CG30190;CG30193,#DIV/0!,#DIV/0!,#DIV/0!
casp,#DIV/0!,#DIV/0!,#DIV/0!
jp,#DIV/0!,#DIV/0!,#DIV/0!
Arc2,#DIV/0!,#DIV/0!,#DIV/0!
Aps,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mRpL18,#DIV/0!,#DIV/0!,#DIV/0!
Obp49a,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Rcd-1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
GstE11,0.8882525,0.83734875,0.862800625
,#DIV/0!,#DIV/0!,#DIV/0!
CG11007,#DIV/0!,#DIV/0!,#DIV/0!
mRpL52,0.865245,0.8962875,0.88076625
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Prx2540-2,#DIV/0!,#DIV/0!,#DIV/0!
EndoG,1.3874,1.43095,1.409175
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Vps25,#DIV/0!,#DIV/0!,#DIV/0!
Atg7,0.4049325,0.40725875,0.406095625
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
synaptogyrin,#DIV/0!,#DIV/0!,#DIV/0!
GstE14,1.4833,1.4455,1.4644
,#DIV/0!,#DIV/0!,#DIV/0!
ClC-b,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Pex11,#DIV/0!,#DIV/0!,#DIV/0!
Rpb5,#DIV/0!,#DIV/0!,#DIV/0!
mRpL41,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Cpr47Eg,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mRpL42,#DIV/0!,#DIV/0!,#DIV/0!
Nup50,0.3271475,0.31519125,0.321169375
Mob4,#DIV/0!,#DIV/0!,#DIV/0!
,0.3971775,0.39855625,0.397866875
Spred,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.9721675,0.98248125,0.977324375
,#DIV/0!,#DIV/0!,#DIV/0!
Syx7,2.8514725,2.52095875,2.686215625
CG5033,#DIV/0!,#DIV/0!,#DIV/0!
twin,0.7834675,0.70541625,0.744441875
l(2)NC136,0.8358,0.9165,0.87615
,#DIV/0!,#DIV/0!,#DIV/0!
mip40,#DIV/0!,#DIV/0!,#DIV/0!
Map60,#DIV/0!,#DIV/0!,#DIV/0!
CG6491,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RpLP0-like,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Ciao1,0.40490375,0.412048125,0.408475938
,#DIV/0!,#DIV/0!,#DIV/0!
CG7137,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.6558025,0.66913375,0.662468125
CG16804,0.24072875,0.234788125,0.237758438
Nup44A,#DIV/0!,#DIV/0!,#DIV/0!
,0.20921375,0.213250625,0.211232188
,0.31916125,0.295551875,0.307356563
,#DIV/0!,#DIV/0!,#DIV/0!
fusl,#DIV/0!,#DIV/0!,#DIV/0!
Tsp42Ej,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Elp2,#DIV/0!,#DIV/0!,#DIV/0!
Cct1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8892-RB,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Tsp42El,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mlt,#DIV/0!,#DIV/0!,#DIV/0!
,0.275020875,0.245846313,0.260433594
,#DIV/0!,#DIV/0!,#DIV/0!
scaf,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Spn42Da,#DIV/0!,#DIV/0!,#DIV/0!
Sara,0.4865525,0.49090875,0.488730625
Spn43Aa,0.4698975,0.43168625,0.450791875
Obp56f,#DIV/0!,#DIV/0!,#DIV/0!
Obp51a,#DIV/0!,#DIV/0!,#DIV/0!
Alk,#DIV/0!,#DIV/0!,#DIV/0!
sxc,0.28617625,0.305929375,0.296052813
BcDNA.GH04637;BcDNA:GH04637,0.5022,0.466145,0.4841725
Sema-1b,#DIV/0!,#DIV/0!,#DIV/0!
Eip63E,#DIV/0!,#DIV/0!,#DIV/0!
nito,0.4761775,0.48143375,0.478805625
fat-spondin,#DIV/0!,#DIV/0!,#DIV/0!
Fpps,0.389845,0.3740975,0.38197125
Ppcs,1.2889575,1.61543125,1.452194375
Mad1,#DIV/0!,#DIV/0!,#DIV/0!
qkr54B,2.7642275,3.85560625,3.309916875
CG11148,#DIV/0!,#DIV/0!,#DIV/0!
bt,#DIV/0!,#DIV/0!,#DIV/0!
heph,0.33732,0.34592,0.34162
,#DIV/0!,#DIV/0!,#DIV/0!
CG1646,#DIV/0!,#DIV/0!,#DIV/0!
btz,#DIV/0!,#DIV/0!,#DIV/0!
exo84,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Mpc1,#DIV/0!,#DIV/0!,#DIV/0!
Aos1,0.4321775,0.40697125,0.419574375
