Gene names,Alpha A30P_day_1_1,Alpha A30P_day_1_2,Alpha A53T_day_1_1,Alpha A53T_day_1_2,Alpha _day_1_1,Alpha _day_1_2,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
TBPH,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.41276,NaN,NaN,NaN,
GV1,NaN,NaN,NaN,NaN,NaN,NaN,
Ance-3,NaN,NaN,NaN,NaN,NaN,NaN,
gw,0.2557,0.38189,NaN,NaN,0.39042,0.39316,
CG43154,0.31968,NaN,NaN,NaN,NaN,NaN,
,1.4439,0.69825,NaN,1.1067,NaN,1.2625,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.55065,NaN,0.83137,0.68028,0.28762,0.35909,
CG17159,NaN,1.1717,NaN,NaN,NaN,NaN,
,0.47747,NaN,0.34451,NaN,NaN,0.45548,
l(2)09851,NaN,NaN,NaN,NaN,NaN,NaN,
mRpS5,0.37063,0.29988,0.3079,0.24033,0.23532,0.33764,
,NaN,NaN,NaN,NaN,NaN,0.75298,
CG17683,0.25413,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.82172,NaN,NaN,NaN,
,NaN,0.41566,0.43416,NaN,0.44394,0.39491,
Spn43Ad,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG7117,NaN,NaN,NaN,NaN,NaN,NaN,
Golgin84,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Dim1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
NT5E-2,0.38352,0.44489,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
rumi,NaN,NaN,NaN,NaN,NaN,0.32572,
CG14722,NaN,NaN,NaN,NaN,NaN,NaN,
Tsp,NaN,NaN,NaN,NaN,NaN,NaN,
,0.71553,0.98917,NaN,0.58884,0.53431,1.223,
CenB1A,NaN,NaN,NaN,NaN,NaN,NaN,
Idgf5,NaN,NaN,NaN,NaN,0.61182,0.44418,
,NaN,NaN,NaN,NaN,NaN,NaN,
hpo,NaN,NaN,NaN,NaN,NaN,NaN,
BEST:CK00246,NaN,NaN,NaN,NaN,NaN,NaN,
obst-E,NaN,NaN,NaN,NaN,NaN,NaN,
beg,0.76279,NaN,0.75511,0.87351,NaN,NaN,
mRpL47,0.50155,0.5447,0.71549,0.38852,0.64407,0.55421,
scpr-B;scpr-C;scpr-A,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
ena,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
BEST:CK02213,NaN,0.83304,0.73345,NaN,NaN,NaN,
boca,0.83089,0.72378,0.70534,0.92451,0.82917,0.65075,
fdl,NaN,NaN,NaN,NaN,NaN,NaN,
bonsai,0.2801,NaN,0.2971,0.59617,0.3568,1.0909,
BEAF-32,0.48104,NaN,NaN,0.4446,0.61482,NaN,
mtacp1,NaN,NaN,NaN,NaN,NaN,NaN,
Rel,NaN,NaN,NaN,NaN,NaN,NaN,
S6k,0.63675,NaN,NaN,NaN,NaN,NaN,
U2af38,NaN,NaN,NaN,NaN,NaN,NaN,
Rga,NaN,NaN,NaN,NaN,NaN,NaN,
Dref,0.46094,0.75289,1.5379,NaN,0.40487,0.80072,
Nrx-IV,NaN,NaN,NaN,NaN,NaN,NaN,
jeb,NaN,NaN,NaN,NaN,NaN,NaN,
mats,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG11412,NaN,NaN,NaN,NaN,NaN,NaN,
Tom20,NaN,NaN,0.82133,NaN,NaN,NaN,
Git,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.76538,NaN,NaN,NaN,
CG10038,1.1024,0.44025,0.35347,NaN,0.49961,0.43279,
pita,NaN,NaN,NaN,NaN,NaN,NaN,
,0.33627,NaN,NaN,NaN,0.38057,0.35841,
,0.33557,0.47042,NaN,NaN,0.37825,0.47629,
Pask,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG30291,1.5138,1.17,1.1698,1.0992,0.95312,1.1072,
CG11955,NaN,NaN,NaN,NaN,NaN,NaN,
CG7506,1.2896,1.2976,NaN,0.99088,NaN,1.0049,
fwe,NaN,NaN,NaN,NaN,NaN,NaN,
Slimp,NaN,NaN,NaN,NaN,NaN,NaN,
CG9798,NaN,NaN,0.44246,NaN,NaN,NaN,
CG4953,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,0.45534,1.202,
CG15187,NaN,NaN,1.2972,NaN,0.47343,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Mf,4.8144,1.9846,NaN,NaN,NaN,NaN,
alpha-Est5,NaN,NaN,NaN,NaN,NaN,NaN,
Rpb7,NaN,NaN,NaN,NaN,NaN,NaN,
Mms19,0.22261,0.24825,0.30135,NaN,NaN,1.1833,
CG3209-RA,NaN,0.33287,0.36101,NaN,NaN,NaN,
Sap47,NaN,NaN,NaN,NaN,NaN,NaN,
Cep135,NaN,NaN,NaN,NaN,NaN,NaN,
,0.33209,NaN,0.40543,NaN,0.56713,0.61803,
,NaN,NaN,NaN,NaN,NaN,NaN,
CycK,NaN,NaN,NaN,NaN,NaN,NaN,
lgs,NaN,NaN,NaN,NaN,NaN,NaN,
Cog3,NaN,NaN,NaN,NaN,NaN,NaN,
CG11058,NaN,NaN,NaN,NaN,NaN,NaN,
BG:DS00941.11,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.20247,NaN,NaN,0.40678,
Rala,NaN,NaN,NaN,NaN,NaN,NaN,
Pax,NaN,NaN,NaN,NaN,NaN,NaN,
zip,NaN,NaN,0.46376,NaN,NaN,0.24253,
Ranbp16,NaN,0.065589,NaN,NaN,NaN,NaN,
mbo,NaN,NaN,NaN,1.1953,NaN,NaN,
CG4733-RA,NaN,NaN,0.96731,NaN,NaN,NaN,
Jupiter,NaN,NaN,NaN,NaN,NaN,NaN,
Jupiter,NaN,NaN,NaN,NaN,NaN,NaN,
,0.48133,0.45594,0.66226,0.36727,0.5514,0.42896,
CG8223,0.49444,1.21,0.60519,0.54436,0.49587,0.40252,
,NaN,NaN,NaN,NaN,NaN,NaN,
mRpL36,NaN,NaN,NaN,NaN,NaN,NaN,
CG11505,0.17427,NaN,0.21771,NaN,0.53311,0.26387,
,NaN,0.30029,NaN,NaN,NaN,NaN,
chb,NaN,0.28284,0.32907,NaN,NaN,0.3215,
trc,0.4846,0.44353,0.3696,NaN,0.49853,NaN,
SH3PX1,0.41333,0.40265,0.36031,NaN,0.63338,0.53808,
Tre1,NaN,NaN,NaN,NaN,NaN,NaN,
ligatin,NaN,NaN,NaN,NaN,NaN,NaN,
GNBP3,NaN,NaN,NaN,NaN,NaN,NaN,
san,0.70085,0.71982,0.41594,NaN,0.57288,0.60067,
Adar,NaN,NaN,NaN,NaN,NaN,NaN,
spt4,NaN,NaN,NaN,NaN,NaN,NaN,
EG:140G11.5,NaN,NaN,0.37533,0.4459,NaN,NaN,
Surf1,NaN,NaN,1.1169,NaN,NaN,NaN,
BcDNA.LD34475,0.58882,2.5294,NaN,NaN,0.24535,NaN,
tty,NaN,NaN,NaN,NaN,NaN,NaN,
Peb,NaN,NaN,NaN,NaN,NaN,NaN,
ECSIT,NaN,NaN,NaN,NaN,0.58582,1.4773,
Syt4,NaN,NaN,NaN,NaN,NaN,NaN,
csul,NaN,NaN,NaN,NaN,NaN,NaN,
rdgBbeta,NaN,NaN,NaN,NaN,NaN,NaN,
Vps28,NaN,NaN,NaN,NaN,NaN,NaN,
krz,0.81927,0.98953,1.0179,0.71729,NaN,NaN,
Catsup,1.1038,0.75977,0.84298,NaN,0.90998,NaN,
Ero1L,NaN,NaN,NaN,NaN,NaN,NaN,
c12.1,NaN,NaN,0.93454,NaN,NaN,NaN,
CG9063,NaN,NaN,NaN,NaN,NaN,NaN,
mRpL4,0.39645,0.29174,0.394,NaN,0.30335,NaN,
Coprox,NaN,NaN,0.51121,NaN,0.61271,0.58445,
Srp54k,0.17766,0.44399,0.29539,0.32285,0.31518,0.25096,
spag,NaN,NaN,NaN,NaN,NaN,NaN,
cyp33,NaN,NaN,NaN,NaN,NaN,NaN,
Nxt1,NaN,NaN,NaN,NaN,NaN,NaN,
Nab2,NaN,NaN,0.88783,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
wds,0.47963,0.48859,NaN,NaN,0.54706,2.846,
BG:DS09217.4,0.12969,0.21901,0.17606,NaN,0.44047,0.22436,
Cbp20,NaN,NaN,NaN,NaN,NaN,NaN,
TM9SF4,NaN,NaN,0.38041,NaN,0.7738,0.70454,
l(2)35Bc,NaN,NaN,NaN,NaN,NaN,NaN,
Jafrac2,0.31168,0.32238,NaN,NaN,NaN,NaN,
GABA-B-R1,NaN,NaN,NaN,NaN,NaN,NaN,
Acp36DE,NaN,NaN,NaN,NaN,NaN,NaN,
heix,NaN,NaN,NaN,NaN,NaN,NaN,
SC35,NaN,NaN,NaN,NaN,NaN,NaN,
dare,0.60474,0.58351,NaN,NaN,0.44334,NaN,
CG4500,NaN,NaN,NaN,NaN,NaN,NaN,
x16,NaN,0.97217,1.079,NaN,NaN,0.78127,
BcDNA.LD23634,NaN,NaN,0.45231,NaN,NaN,NaN,
ck,0.24749,0.21324,NaN,NaN,0.25792,0.25695,
crp,NaN,NaN,NaN,NaN,NaN,NaN,
CG8801,NaN,NaN,NaN,NaN,NaN,NaN,
Smg5,NaN,NaN,NaN,NaN,NaN,NaN,
Met75Ca,NaN,NaN,NaN,NaN,NaN,NaN,
Nup154,0.28283,0.082873,NaN,NaN,NaN,NaN,
Nup107,NaN,NaN,0.65413,NaN,NaN,NaN,
Cul-3,0.17672,0.41759,0.26622,0.26357,0.59599,0.71416,
cals,0.6735,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG10323,NaN,NaN,NaN,NaN,NaN,NaN,
yellow-h,NaN,NaN,NaN,NaN,NaN,NaN,
Hcf,0.4784,0.77429,0.39951,0.49445,0.43777,0.46232,
Asator,0.2938,0.27635,0.28344,0.53106,NaN,0.32789,
Cyp4e1,NaN,NaN,NaN,NaN,0.26611,NaN,
Cyp6a13,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp4p1,NaN,NaN,NaN,NaN,NaN,NaN,
wun,NaN,NaN,NaN,NaN,NaN,NaN,
CG8858,0.5615,0.29899,0.57646,1.4217,0.17716,0.26872,
Taz,NaN,NaN,NaN,NaN,NaN,NaN,
Fsn,NaN,NaN,NaN,NaN,NaN,NaN,
CG13343,NaN,NaN,NaN,NaN,NaN,NaN,
mRpS16,NaN,NaN,NaN,NaN,NaN,NaN,
Cpsf160,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp6a21,NaN,NaN,0.48725,NaN,NaN,NaN,
CG10253,NaN,NaN,NaN,NaN,NaN,NaN,
CG5189,NaN,NaN,NaN,NaN,NaN,NaN,
sec6,NaN,NaN,NaN,NaN,NaN,NaN,
Rep,1.0173,0.36393,NaN,NaN,NaN,0.60559,
Obp56h,NaN,NaN,NaN,NaN,NaN,NaN,
Obp57c,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp6u1,0.43103,0.7196,NaN,NaN,NaN,NaN,
ubl,NaN,NaN,NaN,NaN,NaN,NaN,
phtf,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Cul-2,0.12693,0.30574,0.45567,0.17968,0.36829,0.42944,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG11563-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG11337-RD,0.42545,0.55888,NaN,NaN,0.59947,0.45567,
mRpL32,NaN,NaN,NaN,NaN,NaN,NaN,
qless,NaN,NaN,NaN,NaN,NaN,NaN,
CG1544,NaN,0.40766,NaN,0.51491,NaN,NaN,
Npc2h,NaN,NaN,NaN,NaN,NaN,NaN,
CG2224-RA,0.59678,0.83642,1.1497,NaN,1.1014,0.97143,
mRpS18C,49.935,NaN,0.49703,NaN,1.0528,NaN,
CG34317-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.61024,NaN,NaN,NaN,
Tace,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.84557,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
eIF2B-alpha,NaN,NaN,0.4194,NaN,NaN,NaN,
yata,NaN,NaN,NaN,NaN,NaN,NaN,
IntS11,NaN,NaN,NaN,NaN,NaN,NaN,
CG1969;CG1969-RB,0.41122,0.65222,0.37457,0.4494,NaN,0.36948,
CG7598,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Bub3,NaN,NaN,NaN,NaN,NaN,NaN,
Spase12,NaN,NaN,0.97409,NaN,NaN,NaN,
,NaN,NaN,1.4049,2.114,NaN,NaN,
Mesh1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG11880,NaN,NaN,NaN,NaN,NaN,NaN,
alpha-Man-Ib,NaN,NaN,NaN,NaN,NaN,NaN,
Cul-5,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.40768,NaN,NaN,NaN,
,NaN,NaN,0.72709,NaN,NaN,NaN,
,NaN,NaN,0.44843,NaN,NaN,NaN,
WASp,0.88952,1.2409,0.76286,NaN,1.0537,1.4841,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.25422,0.21241,0.44346,NaN,0.23085,0.22308,
mfrn,0.42679,NaN,0.70693,0.49497,NaN,0.3333,
BCAS2,NaN,NaN,NaN,NaN,NaN,NaN,
,0.3926,NaN,0.35375,NaN,NaN,NaN,
Sce,NaN,NaN,NaN,NaN,NaN,NaN,
CG12883-RA,NaN,NaN,NaN,NaN,NaN,NaN,
RpS10a,NaN,NaN,1.164,NaN,NaN,NaN,
raps,NaN,NaN,NaN,0.19661,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.72713,NaN,NaN,0.64782,NaN,
,0.47885,0.55515,1.058,0.75031,0.56886,NaN,
,NaN,NaN,NaN,NaN,NaN,1.1908,
CG6073,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
RpL34a,NaN,NaN,0.30967,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.19914,2.9268,0.2549,0.32107,2.0257,0.93406,
Mst57Da,NaN,NaN,NaN,NaN,NaN,NaN,
,0.16086,0.18955,0.19778,0.33145,0.199,0.29549,
Dhap-at,NaN,NaN,NaN,NaN,NaN,NaN,
Vps33B,NaN,NaN,NaN,NaN,NaN,NaN,
alrm,NaN,0.55556,NaN,NaN,0.59835,NaN,
,0.78002,1.0025,NaN,NaN,NaN,0.77502,
CG31370-RB,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.41612,0.3532,NaN,NaN,NaN,NaN,
Nup37,NaN,NaN,NaN,NaN,NaN,NaN,
to,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG10420,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Clbn,0.37608,0.72113,0.95977,NaN,0.85888,0.49352,
,NaN,NaN,NaN,NaN,NaN,NaN,
PQBP1,NaN,NaN,NaN,NaN,NaN,NaN,
CG13644,0.97259,0.99972,0.63196,NaN,1.0334,1.0304,
,NaN,NaN,NaN,NaN,NaN,NaN,
polybromo,NaN,NaN,NaN,NaN,NaN,NaN,
Rpb10,NaN,NaN,NaN,NaN,NaN,NaN,
Syx18,NaN,NaN,NaN,NaN,NaN,NaN,
CG5789-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,0.77445,0.75688,NaN,NaN,NaN,0.64385,
,NaN,1.3168,0.22943,NaN,NaN,NaN,
Dis3,0.3324,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.48706,NaN,NaN,NaN,
,1.0843,NaN,0.62297,NaN,NaN,1.5318,
mask,NaN,1.2977,0.97128,0.63617,NaN,NaN,
CG5515-RA,0.40717,0.48979,NaN,0.41557,NaN,NaN,
mRpS24,0.38123,0.41315,NaN,NaN,NaN,NaN,
Kal1,NaN,NaN,NaN,NaN,NaN,NaN,
CG5463,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Ndc1,NaN,NaN,NaN,NaN,NaN,NaN,
eIF4G2,NaN,NaN,NaN,NaN,NaN,NaN,
mbc,NaN,NaN,0.71412,NaN,NaN,0.21924,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,1.6871,1.1379,
CG10214,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
EloA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.82525,0.84998,0.96655,1.3183,0.67882,0.53147,
CG13830-RB,NaN,NaN,NaN,NaN,NaN,NaN,
,1.0387,1.8857,1.4192,1.0856,1.0545,0.97526,
klg,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Usp12-46,NaN,NaN,NaN,NaN,NaN,NaN,
CG13841-RA,4.1643,3.1203,NaN,NaN,3.6611,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
HP1c,NaN,NaN,NaN,1.4048,0.71826,NaN,
CG6982-RC,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp6d4,NaN,NaN,NaN,NaN,NaN,NaN,
Nup133,NaN,NaN,0.47108,NaN,NaN,NaN,
mRpL45,0.59054,0.28338,0.34842,1.8079,0.44153,0.41301,
EF-G2,NaN,NaN,NaN,NaN,NaN,NaN,
CSN6,0.298,NaN,2.0154,NaN,NaN,NaN,
,0.35912,NaN,0.14575,0.73965,0.24258,0.30529,
Pebp1,NaN,NaN,NaN,NaN,NaN,NaN,
,0.39824,0.23419,NaN,NaN,NaN,NaN,
CG5382,NaN,NaN,NaN,NaN,NaN,NaN,
Cchl,0.42671,0.52308,0.32318,0.34261,0.45022,0.44525,
lsn,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,0.44315,NaN,
Oga,0.17462,0.42602,0.2169,NaN,0.60804,0.14115,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG5862,1.0295,1.0855,NaN,NaN,NaN,NaN,
Ubpy,NaN,NaN,NaN,NaN,NaN,NaN,
,0.60827,0.26906,NaN,NaN,0.48301,1.0747,
sec15,NaN,NaN,NaN,NaN,NaN,NaN,
RhoGAP93B,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
RpS30,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.5066,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
psidin,0.25103,0.39743,0.22253,0.31963,0.070479,0.25839,
Xport,NaN,NaN,0.74956,NaN,NaN,NaN,
RhoGAP92B,0.42031,0.36717,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG6231-RD,NaN,NaN,NaN,NaN,NaN,NaN,
Dys,0.35215,0.42213,0.85833,1.2587,NaN,NaN,
,0.0948,NaN,NaN,NaN,NaN,0.08389,
mRpL55,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.53786,NaN,NaN,NaN,0.80736,
,NaN,0.36406,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
snRNP-U1-C,NaN,NaN,NaN,NaN,NaN,NaN,
Smu1,0.66281,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.34925,NaN,NaN,0.31288,
,NaN,NaN,NaN,NaN,NaN,NaN,
Cpsf73,0.70514,0.46047,NaN,NaN,NaN,NaN,
CstF-64,NaN,NaN,NaN,NaN,NaN,NaN,
CG7694,NaN,0.61656,NaN,NaN,0.44872,0.46361,
Nup43,0.73083,0.66822,NaN,0.39799,NaN,0.5549,
PKD,NaN,NaN,NaN,NaN,NaN,NaN,
,0.67837,NaN,NaN,NaN,NaN,NaN,
Rpb4,NaN,1.0418,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG7993,NaN,NaN,1.5104,NaN,NaN,NaN,
,1.0418,NaN,NaN,NaN,NaN,NaN,
Ssdp,NaN,NaN,NaN,NaN,NaN,NaN,
Prx5-RA,NaN,NaN,NaN,NaN,1.0544,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG7477,NaN,NaN,NaN,NaN,NaN,NaN,
AttD,NaN,NaN,NaN,NaN,NaN,NaN,
SF1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.32035,0.21121,NaN,0.20162,0.21176,
mRpS11,0.29807,0.46065,NaN,0.32973,0.38885,0.37213,
Patr-1,NaN,NaN,0.59811,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG17556-RA,0.29809,0.61225,NaN,NaN,NaN,NaN,
modSP,NaN,NaN,NaN,NaN,NaN,NaN,
CG10326,NaN,0.66396,NaN,NaN,NaN,0.78923,
mRpS33,0.70368,0.63357,NaN,NaN,0.55525,NaN,
,NaN,NaN,0.45586,NaN,NaN,NaN,
CG17931,NaN,0.41429,0.39164,NaN,0.38789,0.57761,
Sulf1,NaN,NaN,NaN,NaN,NaN,2.7242,
Bin1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
sxe2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Hmt-1,0.23327,0.25442,0.3204,NaN,0.22879,NaN,
alpha-Man-IIb,0.92177,1.185,NaN,NaN,NaN,NaN,
Acyp2,0.76868,0.493,NaN,NaN,0.84203,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.43314,NaN,NaN,NaN,NaN,NaN,
ldlCp,NaN,NaN,NaN,NaN,NaN,NaN,
CG12258,NaN,NaN,NaN,NaN,NaN,NaN,
Aats-ser,NaN,NaN,NaN,NaN,NaN,NaN,
,0.37513,0.3705,0.5625,NaN,0.4095,NaN,
mRpL9,NaN,0.32342,0.41051,NaN,0.35969,0.33093,
Rpb7,NaN,NaN,NaN,NaN,NaN,NaN,
Mf,NaN,NaN,NaN,NaN,NaN,NaN,
Nup93-2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Pde6,0.17677,0.29559,0.17181,NaN,0.27481,0.23744,
mRpL11,NaN,0.28609,0.45567,NaN,0.31433,NaN,
Aats-met,NaN,NaN,NaN,NaN,NaN,NaN,
Npc2b,0.36667,NaN,NaN,NaN,NaN,NaN,
,0.71818,NaN,NaN,NaN,NaN,0.75304,
Cht5,0.81585,0.34182,0.53963,1.1916,0.73516,2.2513,
ninaB,NaN,NaN,NaN,NaN,NaN,NaN,
flfl,NaN,NaN,NaN,NaN,NaN,NaN,
rin,0.7042,10.342,0.69057,0.42649,0.28409,0.668,
poly,NaN,0.33097,NaN,NaN,NaN,0.29329,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.45408,NaN,0.63544,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.32436,NaN,0.43838,0.40316,0.33057,0.29109,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG5608-RA,0.28177,0.49948,0.40624,NaN,NaN,0.15124,
CG5641,0.42215,0.4283,0.67985,0.30829,0.40596,0.39033,
CG17202,NaN,NaN,NaN,NaN,NaN,NaN,
Dip-C,0.5199,0.53674,0.38272,0.41995,0.42091,0.5024,
GstD5,NaN,NaN,NaN,NaN,NaN,NaN,
GstD10,NaN,NaN,NaN,NaN,NaN,NaN,
MBD-R2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG3532-RB,NaN,NaN,NaN,NaN,NaN,NaN,
Cad87A,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
ClC-a,NaN,NaN,NaN,NaN,NaN,NaN,
Lk6,NaN,NaN,NaN,NaN,NaN,NaN,
,8.097,NaN,NaN,NaN,NaN,NaN,
,1.1519,NaN,NaN,NaN,0.99566,1.2463,
Elp1,0.24839,NaN,NaN,NaN,NaN,NaN,
wkd,NaN,NaN,NaN,NaN,NaN,NaN,
,0.30489,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Ranbp9,2.9949,7.8337,0.38457,NaN,NaN,6.5646,
Arfip,0.40851,0.25373,NaN,NaN,NaN,NaN,
CG14701,NaN,NaN,NaN,NaN,NaN,NaN,
CG17726,NaN,NaN,0.38684,NaN,NaN,NaN,
CG6693,NaN,NaN,NaN,NaN,NaN,NaN,
Ugt35a,NaN,NaN,0.75885,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,0.65133,0.46554,
,NaN,NaN,0.49046,1.828,0.74085,0.65795,
,NaN,0.86973,NaN,NaN,0.80301,0.9191,
Art1,NaN,NaN,0.58153,NaN,0.737,NaN,
mRpL37,0.33264,0.3446,0.31392,0.29237,0.3485,0.35799,
,0.42574,0.39083,0.7511,0.5838,0.53476,0.49674,
Bruce,NaN,NaN,NaN,NaN,NaN,NaN,
Invadolysin,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Art4,NaN,NaN,NaN,NaN,NaN,NaN,
CG12945-RB,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG9396-RA,NaN,NaN,NaN,NaN,NaN,NaN,
Vps45,0.79832,NaN,NaN,NaN,NaN,NaN,
,1.9399,NaN,NaN,NaN,1.0507,NaN,
by,0.83805,0.88096,NaN,NaN,NaN,NaN,
CG9363,NaN,NaN,0.4766,NaN,NaN,NaN,
CG18473,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.69535,NaN,NaN,NaN,NaN,
Vps16A,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.72295,NaN,NaN,0.69393,
hyx,NaN,NaN,0.33038,NaN,0.45699,NaN,
,3.4054,NaN,NaN,NaN,1.1014,NaN,
