Gene names, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2,
pn,NaN,NaN,NaN,0.42241,
Surf4,NaN,NaN,NaN,NaN,
SNF1A,NaN,NaN,NaN,NaN,
wbl,NaN,NaN,NaN,NaN,
qkr58E-3,NaN,NaN,NaN,NaN,
Cbl,NaN,NaN,NaN,NaN,
msta,NaN,NaN,NaN,NaN,
EG:39E1.2,NaN,NaN,NaN,NaN,
Pgam5,NaN,NaN,NaN,NaN,
Ocrl,NaN,NaN,NaN,NaN,
fs(1)N,NaN,NaN,NaN,NaN,
noi,NaN,NaN,NaN,0.38811,
Acp53Ea,NaN,NaN,NaN,NaN,
Acp62F,NaN,NaN,NaN,NaN,
crol,NaN,NaN,NaN,NaN,
Mkk4,NaN,NaN,NaN,NaN,
Flo,NaN,NaN,NaN,NaN,
Flo-2,NaN,NaN,NaN,NaN,
Fim,NaN,NaN,NaN,NaN,
lic,NaN,NaN,NaN,NaN,
dco,NaN,NaN,NaN,NaN,
Kap-alpha1,NaN,NaN,NaN,NaN,
BCL7-like,NaN,NaN,NaN,NaN,
eIF2B-beta,NaN,NaN,NaN,NaN,
EG:125H10.1,NaN,NaN,NaN,NaN,
ssx,NaN,NaN,0.8749,NaN,
CG11448,NaN,NaN,0.66196,0.8847,
anon-3B1.2,NaN,NaN,NaN,NaN,
arg,NaN,NaN,NaN,1.4982,
pck,NaN,NaN,NaN,NaN,
Pp4-19C,NaN,NaN,NaN,NaN,
CG4045,NaN,NaN,NaN,NaN,
Sec22,NaN,NaN,1.6014,1.2504,
Ate1,NaN,NaN,NaN,0.48949,
EG:131F2.3,NaN,NaN,NaN,0.80532,
CG1315,NaN,NaN,NaN,NaN,
par-6,NaN,NaN,NaN,NaN,
RpII33,NaN,NaN,NaN,NaN,
l(1)10Bb,NaN,NaN,0.49896,NaN,
Src64B,NaN,NaN,NaN,NaN,
Sgs3,NaN,NaN,NaN,NaN,
Sgs7,NaN,NaN,NaN,NaN,
nAcRbeta-64B,NaN,NaN,1.0958,NaN,
Rh3,NaN,NaN,NaN,0.15778,
Adf1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.14154,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Hsp67Ba,NaN,NaN,NaN,NaN,
r,NaN,NaN,NaN,NaN,
alphaTub85E,NaN,NaN,0.24647,NaN,
Tm1,NaN,NaN,NaN,NaN,
Tm1,NaN,NaN,NaN,NaN,
Cp19,NaN,NaN,NaN,NaN,
LvpH,NaN,NaN,NaN,NaN,
Sgs5,NaN,NaN,NaN,NaN,
Ald,NaN,NaN,NaN,1.0679,
RpII140,NaN,NaN,NaN,0.30734,
ry,NaN,NaN,NaN,0.2308,
Fmrf,NaN,NaN,NaN,NaN,
Fas1,NaN,NaN,NaN,NaN,
tko,NaN,NaN,NaN,NaN,
Hsc70-2,NaN,NaN,NaN,NaN,
phl,NaN,NaN,NaN,NaN,
Aprt,NaN,NaN,NaN,NaN,
Pp1-87B;Pp1-13C,NaN,NaN,NaN,NaN,
RpS26,NaN,NaN,NaN,NaN,
norpA,NaN,NaN,NaN,NaN,
Atpalpha,NaN,NaN,NaN,NaN,
Appl,NaN,NaN,NaN,NaN,
Fas3,NaN,NaN,NaN,NaN,
gro,NaN,NaN,0.64006,NaN,
numb,NaN,NaN,NaN,NaN,
BicD,NaN,NaN,NaN,0.52934,
Pka-C3,NaN,NaN,NaN,NaN,
ttk,NaN,NaN,NaN,NaN,
crn,NaN,NaN,NaN,NaN,
mus209,NaN,NaN,NaN,NaN,
Fps85D,NaN,NaN,NaN,NaN,
01-Dec,0.17726,NaN,NaN,NaN,
Gld,NaN,NaN,NaN,0.60865,
sgg,NaN,NaN,NaN,NaN,
anon-37Cs,NaN,NaN,NaN,NaN,
arm,NaN,NaN,NaN,NaN,
mt:ND1,NaN,NaN,NaN,NaN,
mt:ND3,NaN,NaN,1.1738,0.73231,
mt:ND4,NaN,NaN,NaN,NaN,
Sxl,NaN,NaN,0.57832,NaN,
up,NaN,NaN,NaN,NaN,
up,NaN,NaN,NaN,NaN,
Pepck,NaN,NaN,0.36141,0.52183,
v,NaN,NaN,0.5416,0.63158,
G-ialpha65A,NaN,NaN,NaN,NaN,
Anp,NaN,NaN,0.17588,0.16734,
AnnIX,NaN,NaN,NaN,NaN,
AnnX,NaN,NaN,NaN,NaN,
Ca-P60A,NaN,NaN,NaN,NaN,
bam,NaN,NaN,NaN,NaN,
Cp16,NaN,NaN,NaN,NaN,
gammaTub23C,3.374,NaN,NaN,NaN,
mts,NaN,NaN,NaN,NaN,
Rdl,NaN,NaN,NaN,NaN,
UbcD6,NaN,NaN,NaN,NaN,
Arf72A,NaN,NaN,1.2381,NaN,
pum,NaN,NaN,NaN,NaN,
tud,NaN,NaN,NaN,NaN,
eff,NaN,NaN,NaN,1.1756,
su(f),NaN,NaN,NaN,NaN,
Fur1,NaN,NaN,NaN,NaN,
TfIIB,NaN,NaN,NaN,NaN,
csw,NaN,NaN,NaN,NaN,
Itp-r83A,0.21595,NaN,NaN,NaN,
Top1,NaN,NaN,NaN,NaN,
dlg1,NaN,NaN,NaN,NaN,
dlg1,NaN,NaN,NaN,NaN,
Gprk2,NaN,NaN,0.33542,0.31944,
Gnf1,NaN,NaN,NaN,NaN,
Ptp99A,NaN,NaN,NaN,NaN,
Ptp10D,NaN,NaN,NaN,NaN,
wupA,NaN,NaN,2.0578,2.2486,
Def,NaN,NaN,NaN,NaN,
cin,NaN,NaN,NaN,NaN,
Bx42,NaN,NaN,NaN,NaN,
ph-p;ph-d,NaN,NaN,NaN,NaN,
exd,NaN,NaN,NaN,NaN,
Arf102F,NaN,NaN,0.98183,NaN,
Arf51F,NaN,NaN,0.78795,0.85629,
TfIIFbeta,NaN,NaN,NaN,NaN,
01-Sep,NaN,NaN,NaN,NaN,
Moe,NaN,NaN,NaN,NaN,
dhd,NaN,NaN,NaN,NaN,
TpnC47D,NaN,NaN,NaN,NaN,
CanB,NaN,NaN,NaN,1.2111,
CanA1,NaN,NaN,NaN,NaN,
Pp1alpha-96A,NaN,NaN,NaN,NaN,
Eip63F-1,NaN,NaN,NaN,NaN,
Pu,NaN,NaN,NaN,NaN,
dia,NaN,NaN,NaN,NaN,
Argk,NaN,NaN,1.8661,NaN,
trpl,NaN,NaN,NaN,NaN,
mnb,NaN,NaN,NaN,NaN,
Taf6,NaN,NaN,NaN,NaN,
cni,NaN,NaN,NaN,NaN,
Srp19,NaN,NaN,NaN,NaN,
Ahcy89E,NaN,NaN,NaN,NaN,
dsh,NaN,NaN,NaN,NaN,
hyd,NaN,NaN,NaN,NaN,
Pfk,NaN,NaN,NaN,NaN,
TfIIA-L,NaN,NaN,NaN,NaN,
alpha-Man-I,NaN,NaN,NaN,NaN,
Mlp60A,NaN,NaN,NaN,NaN,
a5,NaN,NaN,NaN,NaN,
Pbprp5,NaN,NaN,NaN,NaN,
g,NaN,NaN,NaN,NaN,
mtSSB,NaN,NaN,NaN,NaN,
Pros54,NaN,NaN,1.9804,1.9047,
faf,0.33027,NaN,NaN,NaN,
RpS3A,NaN,NaN,NaN,NaN,
betaTub85D,NaN,NaN,NaN,NaN,
140up,NaN,NaN,NaN,NaN,
CG7740,NaN,NaN,NaN,NaN,
Lcp9,NaN,NaN,NaN,NaN,
wibg,NaN,NaN,NaN,NaN,
primo-1,0.57623,NaN,NaN,NaN,
Stim,NaN,NaN,NaN,0.44675,
Wsck,NaN,NaN,NaN,1.1595,
Pi3K92E,NaN,NaN,NaN,NaN,
Rh5,NaN,NaN,NaN,0.26589,
mGluRA,NaN,NaN,NaN,NaN,
SamDC,NaN,NaN,NaN,NaN,
14-3-3epsilon,NaN,NaN,NaN,NaN,
14-3-3epsilon,NaN,NaN,NaN,NaN,
14-3-3epsilon,NaN,NaN,NaN,NaN,
Lcp65Ac,NaN,NaN,NaN,NaN,
Lcp65Ab1,NaN,NaN,2.8916,3.6811,
Lcp65Ag1,NaN,NaN,NaN,NaN,
CaMKII,NaN,NaN,NaN,NaN,
cpo,NaN,NaN,NaN,NaN,
r-l,NaN,NaN,0.68959,0.8401,
Rbp1,NaN,NaN,NaN,NaN,
hts,NaN,NaN,NaN,NaN,
Cpn,NaN,NaN,1.3651,1.4899,
cact,NaN,NaN,NaN,NaN,
for,0.42126,NaN,NaN,0.15527,
Dr,NaN,NaN,NaN,NaN,
sas,1.1732,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Galpha73B,NaN,NaN,NaN,NaN,
Ssrp,NaN,NaN,NaN,NaN,
SmB,NaN,NaN,NaN,NaN,
TfIIFalpha,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Vm34Ca,NaN,NaN,NaN,NaN,
Arf84F,NaN,NaN,NaN,NaN,
ImpL2,NaN,NaN,NaN,NaN,
hig,NaN,NaN,NaN,NaN,
fd68A,NaN,NaN,NaN,NaN,
Hexo1,NaN,NaN,NaN,NaN,
MEP-1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Vdup1,NaN,NaN,0.78504,NaN,
,NaN,NaN,NaN,NaN,
btv,NaN,NaN,0.67539,NaN,
Sema-1a,NaN,NaN,NaN,NaN,
CG17224-RB,NaN,NaN,NaN,0.14433,
Hil,NaN,NaN,NaN,NaN,
SRPK,NaN,NaN,NaN,NaN,
aPKC,NaN,NaN,NaN,0.57992,
,NaN,NaN,NaN,NaN,
Dscam,NaN,NaN,NaN,NaN,
CG40286-RA,NaN,NaN,NaN,NaN,
p120ctn,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Tao,NaN,NaN,NaN,0.34963,
Pfrx,NaN,NaN,0.34225,0.41697,
Myo10A,NaN,NaN,NaN,NaN,
Imp,NaN,NaN,NaN,NaN,
CG32699,NaN,NaN,0.29776,NaN,
sgg,NaN,NaN,NaN,NaN,
CG13366-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
SP1029,0.5295,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mld,NaN,NaN,NaN,NaN,
CG17271-RB,NaN,NaN,0.82855,NaN,
Mhcl,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mtd,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Dap160,NaN,NaN,1.0312,1.0406,
Myo61F,NaN,NaN,NaN,NaN,
qua,NaN,NaN,NaN,NaN,
fliI,NaN,NaN,NaN,NaN,
anon-i1,NaN,NaN,NaN,NaN,
b,NaN,NaN,NaN,3.007,
Snr1,NaN,NaN,NaN,NaN,
TH1,NaN,NaN,NaN,NaN,
Stat92E,NaN,NaN,NaN,NaN,
Deaf1,NaN,NaN,NaN,NaN,
hk,NaN,NaN,0.2815,NaN,
RhoL,NaN,NaN,NaN,NaN,
Aph-4,NaN,NaN,NaN,NaN,
mew,NaN,NaN,NaN,NaN,
SmF,NaN,NaN,NaN,0.63093,
Iap2,NaN,NaN,NaN,NaN,
lin19,NaN,NaN,0.59846,NaN,
Dp,NaN,NaN,NaN,NaN,
Dsor1,NaN,NaN,0.79105,1.0888,
Taf2,NaN,NaN,NaN,NaN,
e(r),NaN,NaN,NaN,NaN,
alpha-Man-II,NaN,NaN,NaN,NaN,
Rbf,NaN,NaN,NaN,NaN,
RpA-70,NaN,NaN,NaN,NaN,
Ubp64E,NaN,NaN,NaN,NaN,
e(y)1,NaN,NaN,NaN,NaN,
l(2)not,NaN,NaN,NaN,NaN,
a10,NaN,NaN,NaN,NaN,
Nos,NaN,NaN,NaN,NaN,
Prat,NaN,NaN,NaN,NaN,
PpV,NaN,NaN,NaN,NaN,
RhoGAP1A,NaN,NaN,NaN,NaN,
Cdep,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG33977-RA,NaN,NaN,NaN,NaN,
Etl1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
yki,NaN,NaN,NaN,NaN,
Acp54A1,NaN,NaN,NaN,NaN,
fbl6,NaN,NaN,NaN,NaN,
Rip11,NaN,NaN,NaN,NaN,
Myo95E,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
His1:CG33801,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cpr92A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RanBPM,NaN,NaN,0.26508,0.27443,
,NaN,NaN,NaN,NaN,
Nf1,NaN,NaN,NaN,NaN,
7B2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,2.3967,
pog,NaN,NaN,NaN,NaN,
CoRest,NaN,NaN,NaN,NaN,
upd3,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cul-4,NaN,NaN,0.6812,0.61332,
,NaN,NaN,NaN,NaN,
CG17698-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG40486-RB,NaN,NaN,NaN,0.37368,
zyd,NaN,NaN,NaN,NaN,
Dbp80,NaN,NaN,NaN,NaN,
LRRK2,NaN,NaN,NaN,NaN,
Sin3A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
lectin-30A,NaN,NaN,NaN,NaN,
Rpb12,NaN,NaN,NaN,NaN,
,NaN,NaN,1.5562,1.3682,
,NaN,NaN,2.2519,NaN,
Sfp26Ad,NaN,NaN,NaN,NaN,
inaF-C,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Nmdar2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
BEST:GH10831,NaN,NaN,NaN,NaN,
nuf,NaN,NaN,NaN,NaN,
CG1675,NaN,NaN,NaN,NaN,
Pde8,NaN,NaN,NaN,NaN,
gfzf,NaN,NaN,NaN,1.3129,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Spt-I,NaN,NaN,NaN,NaN,
pgant5,NaN,NaN,NaN,NaN,
prod,NaN,NaN,0.74258,0.56099,
Atg9,NaN,NaN,NaN,NaN,
Rs1,NaN,NaN,NaN,NaN,
Las,NaN,NaN,NaN,NaN,
SNF4Agamma,NaN,NaN,NaN,NaN,
VhaAC45,NaN,NaN,NaN,NaN,
CAP,NaN,NaN,NaN,NaN,
Nmda1,NaN,NaN,NaN,NaN,
CG30190;CG30193,NaN,NaN,NaN,NaN,
casp,NaN,NaN,NaN,NaN,
jp,0.53442,NaN,NaN,NaN,
Arc2,NaN,NaN,NaN,NaN,
Aps,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL18,NaN,NaN,NaN,NaN,
Obp49a,NaN,NaN,NaN,NaN,
,NaN,NaN,0.88943,0.74027,
Rcd-1,NaN,NaN,NaN,NaN,
,NaN,NaN,2.3338,2.6566,
GstE11,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG11007,NaN,NaN,NaN,NaN,
mRpL52,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.64179,
Prx2540-2,NaN,NaN,NaN,NaN,
EndoG,NaN,NaN,NaN,1.2627,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Vps25,NaN,NaN,NaN,NaN,
Atg7,NaN,NaN,NaN,NaN,
,NaN,NaN,0.66163,0.5576,
,NaN,NaN,NaN,NaN,
synaptogyrin,NaN,NaN,NaN,1.2095,
GstE14,NaN,NaN,1.2846,NaN,
,NaN,NaN,NaN,NaN,
ClC-b,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Pex11,NaN,NaN,NaN,NaN,
Rpb5,NaN,NaN,NaN,NaN,
mRpL41,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cpr47Eg,NaN,NaN,NaN,NaN,
,NaN,NaN,0.9944,0.85029,
,NaN,NaN,NaN,NaN,
mRpL42,NaN,NaN,NaN,NaN,
Nup50,NaN,NaN,NaN,NaN,
Mob4,NaN,NaN,NaN,NaN,
,NaN,NaN,0.87931,0.35376,
Spred,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.70836,NaN,NaN,0.89162,
,NaN,NaN,NaN,NaN,
Syx7,NaN,NaN,NaN,NaN,
CG5033,NaN,NaN,NaN,NaN,
twin,NaN,NaN,NaN,NaN,
l(2)NC136,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mip40,NaN,NaN,NaN,NaN,
Map60,NaN,NaN,NaN,NaN,
CG6491,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RpLP0-like,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ciao1,NaN,NaN,0.47713,0.51214,
,NaN,NaN,1.5914,NaN,
CG7137,NaN,NaN,NaN,NaN,
,NaN,NaN,0.72471,NaN,
,NaN,NaN,NaN,NaN,
CG16804,NaN,NaN,NaN,1.7945,
Nup44A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.54119,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
fusl,NaN,NaN,NaN,NaN,
Tsp42Ej,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Elp2,1.1255,NaN,NaN,NaN,
Cct1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG8892-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Tsp42El,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mlt,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
scaf,NaN,NaN,NaN,0.68233,
,NaN,NaN,NaN,NaN,
Spn42Da,NaN,NaN,NaN,NaN,
Sara,NaN,NaN,NaN,NaN,
Spn43Aa,NaN,NaN,NaN,NaN,
Obp56f,NaN,NaN,NaN,NaN,
Obp51a,NaN,NaN,0.1095,0.12834,
Alk,NaN,NaN,NaN,NaN,
sxc,0.31729,NaN,NaN,NaN,
BcDNA.GH04637;BcDNA:GH04637,NaN,NaN,0.19146,0.38036,
Sema-1b,NaN,NaN,NaN,NaN,
Eip63E,NaN,NaN,NaN,NaN,
nito,0.48291,NaN,NaN,NaN,
fat-spondin,NaN,NaN,NaN,NaN,
Fpps,NaN,NaN,NaN,0.53943,
Ppcs,NaN,NaN,NaN,0.56394,
Mad1,NaN,NaN,NaN,NaN,
qkr54B,NaN,NaN,NaN,NaN,
CG11148,NaN,NaN,NaN,NaN,
bt,NaN,NaN,NaN,NaN,
heph,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.73361,
CG1646,NaN,NaN,NaN,NaN,
btz,NaN,NaN,NaN,NaN,
exo84,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mpc1,NaN,NaN,NaN,NaN,
Aos1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Csk,NaN,NaN,NaN,NaN,
CG11870-RD,NaN,NaN,NaN,NaN,
mdy,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
nAcRalpha-34E,NaN,NaN,NaN,NaN,
NimB2,NaN,NaN,NaN,NaN,
BG:DS01368.1,NaN,NaN,NaN,NaN,
Ca-beta,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Rtnl1,NaN,NaN,NaN,NaN,
,NaN,NaN,1.1134,1.2288,
asparagine-synthetase,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.19274,
CG15445-RD,NaN,NaN,NaN,NaN,
lqf,NaN,NaN,0.6795,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.43956,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Lmpt,NaN,NaN,NaN,NaN,
Fibp,NaN,NaN,NaN,NaN,
Alr,NaN,NaN,NaN,NaN,
chas,NaN,NaN,NaN,NaN,
msn,NaN,NaN,NaN,0.57576,
trio,0.71974,NaN,NaN,NaN,
MESK2,NaN,NaN,NaN,NaN,
AP-1gamma,NaN,NaN,NaN,NaN,
spoon,NaN,NaN,NaN,NaN,
Syx4,NaN,NaN,NaN,NaN,
CG32809,NaN,NaN,NaN,NaN,
DAAM,NaN,NaN,2.7848,NaN,
Rab4,NaN,NaN,NaN,NaN,
,0.40305,NaN,NaN,0.48894,
CG17528,NaN,NaN,NaN,NaN,
CG12567-RA;CG12567-RD,NaN,NaN,0.26641,0.29309,
Tim17b,NaN,NaN,NaN,NaN,
CG40470-RA,NaN,NaN,NaN,NaN,
Sema-5c,NaN,NaN,NaN,NaN,
lola,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Tbh,NaN,NaN,0.8596,0.64616,
,NaN,NaN,NaN,NaN,
Doa,NaN,NaN,NaN,NaN,
Doa,NaN,NaN,NaN,NaN,
unk,NaN,NaN,NaN,NaN,
mod(mdg4),NaN,NaN,NaN,NaN,
CG33098-RB,NaN,NaN,NaN,NaN,
Mical,NaN,NaN,NaN,NaN,
eca;p24-2,NaN,NaN,NaN,1.9678,
tacc,NaN,NaN,NaN,NaN,
CG10517,NaN,NaN,NaN,NaN,
Zasp66,NaN,NaN,NaN,NaN,
Zasp66,NaN,NaN,NaN,NaN,
Rab14,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL27,NaN,NaN,NaN,NaN,
Plip,1.3285,NaN,NaN,NaN,
,NaN,NaN,0.95533,1.0211,
CG11097,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Hip1,NaN,NaN,NaN,NaN,
HDAC6,NaN,NaN,0.3151,0.18527,
Nelf-A,NaN,NaN,NaN,NaN,
Vmat,NaN,NaN,NaN,NaN,
CG6166,NaN,NaN,0.60152,0.79159,
grass,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.44907,0.35122,
vsg,NaN,NaN,NaN,NaN,
gammaCop,NaN,NaN,0.45691,0.20229,
gammaCop,NaN,NaN,NaN,NaN,
qtc,NaN,NaN,NaN,NaN,
mRpS21,NaN,NaN,NaN,NaN,
,NaN,NaN,0.84724,NaN,
Acph-1,NaN,NaN,NaN,2.332,
hoe1,NaN,NaN,NaN,NaN,
,0.26924,NaN,NaN,NaN,
Tm1,NaN,NaN,NaN,NaN,
unc-13,NaN,NaN,0.8226,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Asator,NaN,NaN,NaN,NaN,
CstF-50,NaN,NaN,NaN,NaN,
,NaN,NaN,0.46512,NaN,
Sap-r,NaN,NaN,NaN,NaN,
CG2246-RB;CG2246-RA,NaN,NaN,NaN,NaN,
CG7829-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
alph,NaN,NaN,NaN,0.32586,
,NaN,NaN,NaN,NaN,
CG5508-RC;BcDNA.GH07066,NaN,NaN,NaN,NaN,
CG31064-RB,0.46799,NaN,NaN,NaN,
CG5484-RB;CG5484-RA,NaN,NaN,NaN,NaN,
scrib,NaN,NaN,NaN,NaN,
msi,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,2.0648,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Miro,NaN,NaN,NaN,NaN,
Dph5,NaN,NaN,NaN,NaN,
lqfR,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
GABA-B-R2,NaN,NaN,NaN,1.0688,
CG31205-RB,NaN,NaN,NaN,NaN,
att-ORFA,1.0297,NaN,NaN,NaN,
Akt1,NaN,NaN,NaN,NaN,
CR31292;CG3303-RA,NaN,NaN,NaN,NaN,
Trax,NaN,NaN,NaN,NaN,
Art3,NaN,NaN,NaN,NaN,
CG31321-RB,NaN,NaN,NaN,NaN,
CG12213-RB,NaN,NaN,0.80461,NaN,
,NaN,NaN,NaN,NaN,
SelR,NaN,NaN,NaN,NaN,
stck,NaN,NaN,NaN,NaN,
Fas3,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Tpr2,NaN,NaN,NaN,NaN,
BG:DS07473.1,NaN,NaN,NaN,NaN,
mRpS23,NaN,NaN,NaN,1.7458,
Sec71,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
dUTPase,NaN,NaN,NaN,NaN,
CYLD,NaN,NaN,NaN,NaN,
Akap200,NaN,NaN,NaN,NaN,
CG8372-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,3.5901,NaN,
Bsg,NaN,NaN,NaN,NaN,
Ndae1,NaN,NaN,0.46444,0.42751,
,NaN,NaN,NaN,NaN,
CG11321-RC,NaN,NaN,NaN,NaN,
mmy,NaN,NaN,NaN,NaN,
stai,NaN,NaN,NaN,NaN,
CG31915,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG31522-RA;CG9798,NaN,NaN,NaN,0.4344,
CRMP,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Rrp40,NaN,NaN,NaN,NaN,
,NaN,NaN,0.58585,0.52779,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG32368-RA,NaN,NaN,NaN,NaN,
BI-1;CG7188,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG32032-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
scramb1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mob2,0.23343,NaN,NaN,NaN,
Sap130,NaN,NaN,NaN,NaN,
CG7656-RA,NaN,NaN,NaN,NaN,
l(3)72Dp,NaN,NaN,NaN,NaN,
ClC-c,NaN,NaN,NaN,NaN,
Mbs,NaN,NaN,NaN,0.67924,
Pdh,1.1678,NaN,NaN,1.0317,
,NaN,NaN,NaN,0.29685,
verm,NaN,NaN,NaN,NaN,
Nup205,NaN,NaN,NaN,NaN,
CoVIb,NaN,NaN,NaN,NaN,
vap,NaN,NaN,NaN,NaN,
CG32581-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
bif,NaN,NaN,NaN,NaN,
YT521-B,NaN,NaN,NaN,NaN,
,NaN,NaN,0.20441,0.41546,
gry,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
dre4,NaN,NaN,NaN,NaN,
CG2199,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Glut1,NaN,NaN,NaN,NaN,
CG16940-RC,NaN,NaN,NaN,NaN,
CG10962-RB,NaN,NaN,NaN,NaN,
Sirt4,NaN,NaN,NaN,NaN,
Obp57b,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG30010,NaN,NaN,NaN,NaN,
Coq9,NaN,NaN,NaN,NaN,
HSPC300,NaN,NaN,NaN,NaN,
,NaN,NaN,0.59098,1.3698,
Spn42Da,NaN,NaN,NaN,NaN,
CG30427-RC,NaN,NaN,0.43639,NaN,
Reps,NaN,NaN,NaN,NaN,
viaf,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
