Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,1.6871,1.1379,1.1126,NaN,NaN,NaN,NaN,1.7844,NaN,NaN,NaN,NaN
CG10214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5545,NaN,NaN,1.1398,NaN
EloA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2446,0.22619,NaN,NaN,NaN,NaN
,0.82525,0.84998,0.96655,1.3183,0.67882,0.53147,1.0136,0.95887,1.239,0.97927,0.82248,0.84415,NaN,NaN,0.89262,0.94765
CG13830-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.0387,1.8857,1.4192,1.0856,1.0545,0.97526,1.0644,0.92625,0.99051,0.70822,0.90109,0.72189,NaN,NaN,0.8663,0.98234
klg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Usp12-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG13841-RA,4.1643,3.1203,NaN,NaN,3.6611,NaN,NaN,NaN,2.4849,2.4442,NaN,NaN,NaN,NaN,2.8415,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HP1c,NaN,NaN,NaN,1.4048,0.71826,NaN,NaN,NaN,NaN,NaN,NaN,1.0125,NaN,NaN,NaN,0.76261
CG6982-RC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp6d4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nup133,NaN,NaN,0.47108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL45,0.59054,0.28338,0.34842,1.8079,0.44153,0.41301,NaN,0.8564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EF-G2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CSN6,0.298,NaN,2.0154,NaN,NaN,NaN,NaN,NaN,3.3187,0.7557,0.56273,NaN,NaN,NaN,NaN,NaN
,0.35912,NaN,0.14575,0.73965,0.24258,0.30529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pebp1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.39824,0.23419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cchl,0.42671,0.52308,0.32318,0.34261,0.45022,0.44525,NaN,1.2212,NaN,NaN,NaN,NaN,NaN,NaN,3.7055,NaN
lsn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.44315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oga,0.17462,0.42602,0.2169,NaN,0.60804,0.14115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5862,1.0295,1.0855,NaN,NaN,NaN,NaN,NaN,NaN,1.3319,NaN,NaN,1.7609,1.7767,NaN,NaN,NaN
Ubpy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.60827,0.26906,NaN,NaN,0.48301,1.0747,NaN,0.9681,NaN,0.64203,0.6682,0.69005,NaN,NaN,0.55345,0.65988
sec15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP93B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RpS30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.5066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5731
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
psidin,0.25103,0.39743,0.22253,0.31963,0.070479,0.25839,0.33614,0.59129,NaN,NaN,NaN,NaN,0.1929,NaN,NaN,NaN
Xport,NaN,NaN,0.74956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP92B,0.42031,0.36717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6231-RD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dys,0.35215,0.42213,0.85833,1.2587,NaN,NaN,NaN,NaN,NaN,0.74261,NaN,NaN,NaN,NaN,NaN,NaN
,0.0948,NaN,NaN,NaN,NaN,0.08389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.53786,NaN,NaN,NaN,0.80736,1.4023,NaN,NaN,1.1887,NaN,NaN,NaN,NaN,1.3311,1.4798
,NaN,0.36406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36934,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
snRNP-U1-C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.89679,NaN
Smu1,0.66281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.34925,NaN,NaN,0.31288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cpsf73,0.70514,0.46047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CstF-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7694,NaN,0.61656,NaN,NaN,0.44872,0.46361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72179
Nup43,0.73083,0.66822,NaN,0.39799,NaN,0.5549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PKD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.67837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rpb4,NaN,1.0418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2116
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7993,NaN,NaN,1.5104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.0418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ssdp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prx5-RA,NaN,NaN,NaN,NaN,1.0544,NaN,0.94129,NaN,NaN,NaN,1.1206,0.86149,NaN,NaN,NaN,0.95519
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43857,NaN,NaN,NaN,NaN,NaN,NaN,0.42267,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AttD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SF1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.32035,0.21121,NaN,0.20162,0.21176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpS11,0.29807,0.46065,NaN,0.32973,0.38885,0.37213,0.96474,0.72921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Patr-1,NaN,NaN,0.59811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,0.43722,0.34613,0.7356,0.58023,0.47542,0.44106,NaN,NaN,0.39691,0.39205
CG17556-RA,0.29809,0.61225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.66047
modSP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG10326,NaN,0.66396,NaN,NaN,NaN,0.78923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpS33,0.70368,0.63357,NaN,NaN,0.55525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.45586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17931,NaN,0.41429,0.39164,NaN,0.38789,0.57761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sulf1,NaN,NaN,NaN,NaN,NaN,2.7242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bin1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48301,NaN,NaN,NaN,0.38881,NaN,NaN,NaN
sxe2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72476,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hmt-1,0.23327,0.25442,0.3204,NaN,0.22879,NaN,0.34296,NaN,NaN,NaN,0.33897,0.47905,NaN,NaN,0.26712,0.228
alpha-Man-IIb,0.92177,1.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Acyp2,0.76868,0.493,NaN,NaN,0.84203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93937
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.43314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78237
ldlCp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aats-ser,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.37513,0.3705,0.5625,NaN,0.4095,NaN,NaN,1.0356,NaN,0.32713,0.96493,1.2166,NaN,NaN,NaN,NaN
mRpL9,NaN,0.32342,0.41051,NaN,0.35969,0.33093,NaN,0.71659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2854
Rpb7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nup93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pde6,0.17677,0.29559,0.17181,NaN,0.27481,0.23744,0.25064,0.56398,NaN,NaN,0.24892,NaN,NaN,NaN,0.23445,0.24573
mRpL11,NaN,0.28609,0.45567,NaN,0.31433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aats-met,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.92458,NaN,NaN,NaN,0.80549,NaN,NaN,NaN,NaN
Npc2b,0.36667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8247,NaN,NaN,NaN
,0.71818,NaN,NaN,NaN,NaN,0.75304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cht5,0.81585,0.34182,0.53963,1.1916,0.73516,2.2513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ninaB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
flfl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rin,0.7042,10.342,0.69057,0.42649,0.28409,0.668,NaN,0.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
poly,NaN,0.33097,NaN,NaN,NaN,0.29329,NaN,0.58897,NaN,0.50281,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.45408,NaN,0.63544,NaN,NaN,NaN,0.3889,0.36766,NaN,0.25546,0.34937,0.37384,NaN,NaN,0.41056,0.35097
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.32436,NaN,0.43838,0.40316,0.33057,0.29109,NaN,0.51746,NaN,0.46312,0.38639,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5608-RA,0.28177,0.49948,0.40624,NaN,NaN,0.15124,0.32287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65325,0.57934
CG5641,0.42215,0.4283,0.67985,0.30829,0.40596,0.39033,0.68971,0.89628,NaN,NaN,0.80864,NaN,NaN,NaN,NaN,0.70386
CG17202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dip-C,0.5199,0.53674,0.38272,0.41995,0.42091,0.5024,0.45787,0.49631,NaN,0.55096,NaN,NaN,NaN,NaN,1.1966,0.86702
GstD5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GstD10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MBD-R2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3532-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cad87A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ClC-a,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lk6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,8.097,NaN,NaN,NaN,NaN,NaN,0.93391,0.73264,1.3385,NaN,3.1305,0.67087,NaN,NaN,4.0975,0.49949
,1.1519,NaN,NaN,NaN,0.99566,1.2463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Elp1,0.24839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
wkd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23942,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.30489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ranbp9,2.9949,7.8337,0.38457,NaN,NaN,6.5646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arfip,0.40851,0.25373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50193,NaN,NaN,NaN,NaN,NaN,0.63554
CG14701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17726,NaN,NaN,0.38684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23282,0.30792,0.2645,NaN,NaN,NaN
CG6693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ugt35a,NaN,NaN,0.75885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.65133,0.46554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.49046,1.828,0.74085,0.65795,NaN,0.81036,NaN,NaN,NaN,0.6226,NaN,NaN,0.60944,0.9152
,NaN,0.86973,NaN,NaN,0.80301,0.9191,1.171,1.0406,NaN,1.1773,0.85527,0.91903,NaN,NaN,NaN,1.5303
Art1,NaN,NaN,0.58153,NaN,0.737,NaN,0.74517,NaN,NaN,0.70534,NaN,0.61656,NaN,NaN,NaN,NaN
mRpL37,0.33264,0.3446,0.31392,0.29237,0.3485,0.35799,0.81938,0.64269,1.2233,0.69602,NaN,NaN,NaN,NaN,NaN,NaN
,0.42574,0.39083,0.7511,0.5838,0.53476,0.49674,0.42087,2.2347,0.4456,0.58556,0.59356,0.63066,NaN,NaN,NaN,NaN
Bruce,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30405,NaN,0.23094,0.15979,NaN,NaN,NaN,NaN,NaN
Invadolysin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.87392,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Art4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12945-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9396-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vps45,0.79832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.9399,NaN,NaN,NaN,1.0507,NaN,0.98661,0.79816,0.92871,0.76732,0.8471,NaN,NaN,NaN,0.63812,0.66463
by,0.83805,0.88096,NaN,NaN,NaN,NaN,0.80376,NaN,NaN,0.75027,NaN,NaN,0.82149,NaN,NaN,0.56142
CG9363,NaN,NaN,0.4766,NaN,NaN,NaN,NaN,0.5385,NaN,NaN,0.56783,NaN,NaN,NaN,NaN,NaN
CG18473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.69535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vps16A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.72295,NaN,NaN,0.69393,NaN,NaN,NaN,NaN,0.87342,NaN,NaN,NaN,NaN,NaN
hyx,NaN,NaN,0.33038,NaN,0.45699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,3.4054,NaN,NaN,NaN,1.1014,NaN,NaN,NaN,NaN,1.1667,NaN,NaN,NaN,NaN,NaN,NaN
RagA-B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAHbeta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pyd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99921,NaN,1.1269,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7198,NaN,NaN,NaN,NaN,NaN,NaN
CG9773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL19,0.66296,0.75888,0.82462,0.43348,0.6449,0.74907,1.7631,1.899,1.8868,NaN,2.5088,2.5034,NaN,NaN,2.7713,3.1489
CG8021-RA,2.021,1.8942,1.2397,1.1598,1.7828,1.6314,2.8225,3.4611,NaN,3.2036,3.3865,2.313,NaN,NaN,3.5605,4.9463
mRpS18A,1.153,NaN,2.2709,NaN,NaN,0.71501,1.9838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PQBP-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Atg13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tex,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gie,0.66704,NaN,NaN,NaN,NaN,0.75105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.42192,0.97515,0.43039,NaN,0.62504,NaN,NaN,NaN,NaN,0.4951,0.39945,0.39796,NaN,NaN,0.41782,0.49249
unc-45,0.2333,0.19474,0.24912,0.21067,0.070225,0.12819,0.2537,0.1526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.59549,0.51936,NaN,NaN,NaN,0.73862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
wtrw,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Neurochondrin,0.1823,0.077477,0.098927,0.14385,0.20652,0.10136,0.21063,0.18322,0.25133,0.56328,NaN,0.42749,NaN,NaN,0.57774,0.34883
CG1104,2.3951,1.2062,0.69759,0.8294,NaN,0.49502,0.55045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96531
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dpck,0.48538,0.36658,0.31652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.30744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lap,1.2708,1.2252,NaN,NaN,NaN,NaN,NaN,0.89597,NaN,NaN,NaN,NaN,0.93265,NaN,NaN,0.94489
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
