Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
,NaN,NaN,NaN,NaN,NaN,NaN
Dim1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
NT5E-2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
rumi,NaN,NaN,NaN,NaN,NaN,NaN
CG14722,NaN,NaN,NaN,NaN,NaN,NaN
Tsp,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.32926,NaN,1.0655,1.2654,1.1981
CenB1A,NaN,NaN,NaN,NaN,NaN,NaN
Idgf5,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
hpo,NaN,NaN,NaN,NaN,NaN,NaN
BEST:CK00246,NaN,NaN,NaN,NaN,NaN,NaN
obst-E,NaN,NaN,NaN,NaN,NaN,NaN
beg,0.54529,1.403,NaN,NaN,0.46261,0.66483
mRpL47,1.7131,1.264,NaN,1.7644,NaN,NaN
scpr-B;scpr-C;scpr-A,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
ena,0.38059,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
BEST:CK02213,NaN,NaN,NaN,NaN,NaN,NaN
boca,1.2902,1.132,1.076,1.0152,1.2502,1.5125
fdl,NaN,NaN,NaN,NaN,NaN,NaN
bonsai,0.42183,0.91681,NaN,NaN,0.72096,NaN
BEAF-32,NaN,NaN,0.5214,NaN,NaN,0.53808
mtacp1,NaN,NaN,NaN,NaN,NaN,NaN
Rel,NaN,NaN,NaN,NaN,NaN,NaN
S6k,NaN,NaN,NaN,NaN,NaN,NaN
U2af38,NaN,NaN,NaN,NaN,NaN,NaN
Rga,NaN,NaN,NaN,NaN,NaN,NaN
Dref,0.88854,NaN,0.59577,1.2661,0.87387,0.66268
Nrx-IV,NaN,NaN,NaN,NaN,NaN,NaN
jeb,NaN,NaN,NaN,NaN,NaN,NaN
mats,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG11412,NaN,NaN,NaN,NaN,NaN,NaN
Tom20,NaN,NaN,NaN,NaN,NaN,NaN
Git,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG10038,NaN,NaN,0.4819,0.45208,0.65035,0.38066
pita,NaN,NaN,NaN,NaN,NaN,NaN
,0.36929,NaN,NaN,NaN,0.34835,0.42933
,NaN,NaN,NaN,NaN,NaN,NaN
Pask,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.93115,NaN
CG30291,1.6269,1.6923,1.1332,1.5922,1.7531,2.0946
CG11955,NaN,NaN,NaN,NaN,NaN,NaN
CG7506,1.8091,1.7319,1.8842,1.8538,2.3182,2.1109
fwe,NaN,1.1784,NaN,NaN,NaN,NaN
Slimp,NaN,NaN,NaN,NaN,NaN,NaN
CG9798,0.46645,2.0873,NaN,0.55463,NaN,0.40017
CG4953,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG15187,0.22999,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Mf,NaN,NaN,NaN,NaN,NaN,NaN
alpha-Est5,0.54754,NaN,0.49931,0.24065,1.3586,NaN
Rpb7,NaN,NaN,NaN,NaN,NaN,NaN
Mms19,NaN,NaN,NaN,NaN,NaN,NaN
CG3209-RA,0.23644,NaN,NaN,NaN,NaN,1.5714
Sap47,NaN,NaN,NaN,NaN,NaN,NaN
Cep135,NaN,NaN,NaN,NaN,NaN,NaN
,1.1431,NaN,NaN,1.1914,NaN,0.87407
,NaN,NaN,NaN,NaN,NaN,NaN
CycK,NaN,NaN,NaN,NaN,NaN,NaN
lgs,NaN,NaN,NaN,NaN,NaN,NaN
Cog3,NaN,NaN,NaN,NaN,NaN,NaN
CG11058,NaN,NaN,NaN,NaN,NaN,NaN
BG:DS00941.11,1.1177,NaN,NaN,NaN,1.0916,1.0988
,NaN,NaN,NaN,NaN,NaN,NaN
Rala,NaN,0.48064,NaN,NaN,NaN,0.35734
Pax,NaN,NaN,NaN,NaN,NaN,NaN
zip,NaN,NaN,NaN,NaN,NaN,NaN
Ranbp16,NaN,NaN,NaN,NaN,NaN,NaN
mbo,NaN,0.7685,1.0897,0.89265,NaN,NaN
CG4733-RA,NaN,NaN,NaN,NaN,NaN,NaN
Jupiter,NaN,NaN,NaN,NaN,NaN,NaN
Jupiter,NaN,NaN,NaN,NaN,NaN,NaN
,0.62299,0.80131,0.46162,0.62297,NaN,0.72929
CG8223,NaN,0.76019,NaN,0.64397,NaN,0.89212
,NaN,NaN,NaN,NaN,NaN,NaN
mRpL36,NaN,NaN,NaN,NaN,NaN,NaN
CG11505,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
chb,NaN,NaN,0.54789,0.40904,NaN,NaN
trc,0.51214,0.58957,NaN,0.48937,0.37041,NaN
SH3PX1,NaN,0.47447,0.59263,0.48471,NaN,0.56738
Tre1,NaN,NaN,NaN,NaN,NaN,NaN
ligatin,NaN,NaN,NaN,NaN,NaN,NaN
GNBP3,NaN,NaN,NaN,NaN,NaN,NaN
san,1.2704,NaN,NaN,NaN,0.85936,1.5095
Adar,NaN,NaN,NaN,NaN,NaN,NaN
spt4,NaN,NaN,NaN,NaN,NaN,NaN
EG:140G11.5,NaN,NaN,NaN,NaN,2.9729,NaN
Surf1,NaN,NaN,NaN,NaN,NaN,NaN
BcDNA.LD34475,NaN,NaN,NaN,NaN,NaN,NaN
tty,NaN,NaN,NaN,NaN,NaN,NaN
Peb,NaN,NaN,NaN,NaN,NaN,NaN
ECSIT,NaN,NaN,NaN,1.0565,NaN,1.65
Syt4,NaN,NaN,NaN,NaN,0.64843,NaN
csul,NaN,NaN,NaN,NaN,NaN,NaN
rdgBbeta,NaN,NaN,NaN,NaN,NaN,NaN
Vps28,NaN,NaN,NaN,NaN,NaN,NaN
krz,0.77837,NaN,NaN,NaN,NaN,0.88246
Catsup,NaN,1.1834,NaN,1.5829,NaN,NaN
Ero1L,NaN,NaN,NaN,NaN,NaN,NaN
c12.1,NaN,NaN,NaN,NaN,NaN,NaN
CG9063,NaN,NaN,NaN,NaN,NaN,NaN
mRpL4,NaN,0.74485,NaN,NaN,NaN,NaN
Coprox,NaN,NaN,NaN,NaN,NaN,NaN
Srp54k,0.20194,0.34503,0.41042,NaN,0.34797,0.36151
spag,NaN,NaN,NaN,NaN,NaN,NaN
cyp33,NaN,NaN,NaN,NaN,NaN,NaN
Nxt1,NaN,NaN,NaN,NaN,NaN,NaN
Nab2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
wds,NaN,NaN,NaN,NaN,0.65209,0.5974
BG:DS09217.4,NaN,NaN,NaN,NaN,NaN,NaN
Cbp20,NaN,NaN,NaN,NaN,NaN,NaN
TM9SF4,NaN,NaN,NaN,NaN,NaN,NaN
l(2)35Bc,NaN,NaN,NaN,NaN,NaN,NaN
Jafrac2,NaN,NaN,NaN,NaN,NaN,NaN
GABA-B-R1,NaN,NaN,NaN,NaN,NaN,NaN
Acp36DE,0.13235,0.15709,0.26309,0.2651,0.23333,0.33542
heix,NaN,NaN,NaN,NaN,NaN,NaN
SC35,NaN,NaN,NaN,NaN,NaN,NaN
dare,NaN,NaN,NaN,0.47258,0.46104,0.45443
CG4500,NaN,NaN,0.49313,0.2585,3.376,2.3336
x16,2.3937,NaN,NaN,NaN,2.2191,NaN
BcDNA.LD23634,NaN,NaN,0.66262,NaN,NaN,NaN
ck,NaN,NaN,NaN,NaN,NaN,NaN
crp,NaN,NaN,NaN,NaN,NaN,NaN
CG8801,NaN,NaN,NaN,NaN,NaN,NaN
Smg5,NaN,NaN,NaN,NaN,NaN,NaN
Met75Ca,NaN,NaN,NaN,NaN,NaN,NaN
Nup154,NaN,NaN,NaN,NaN,NaN,NaN
Nup107,NaN,NaN,NaN,NaN,NaN,NaN
Cul-3,0.39505,NaN,NaN,NaN,0.41253,0.42872
cals,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG10323,NaN,NaN,NaN,NaN,NaN,NaN
yellow-h,NaN,NaN,NaN,NaN,NaN,NaN
Hcf,0.66818,0.8595,0.58076,0.50542,NaN,NaN
Asator,NaN,NaN,NaN,0.68712,NaN,NaN
Cyp4e1,NaN,NaN,NaN,NaN,NaN,NaN
Cyp6a13,NaN,0.51644,NaN,0.38967,0.088533,0.30503
Cyp4p1,NaN,NaN,NaN,NaN,NaN,NaN
wun,NaN,NaN,NaN,NaN,NaN,NaN
CG8858,1.0922,1.119,1.0056,0.43551,1.2482,NaN
Taz,NaN,NaN,0.60827,NaN,0.49745,0.68474
Fsn,NaN,NaN,NaN,NaN,NaN,NaN
CG13343,NaN,NaN,NaN,NaN,NaN,NaN
mRpS16,NaN,NaN,NaN,NaN,NaN,NaN
Cpsf160,NaN,NaN,NaN,NaN,NaN,NaN
Cyp6a21,NaN,NaN,NaN,NaN,NaN,NaN
CG10253,NaN,NaN,NaN,NaN,NaN,NaN
CG5189,NaN,NaN,NaN,NaN,NaN,NaN
sec6,NaN,NaN,NaN,NaN,NaN,NaN
Rep,NaN,NaN,NaN,NaN,NaN,NaN
Obp56h,NaN,NaN,NaN,NaN,NaN,NaN
Obp57c,NaN,NaN,NaN,NaN,NaN,NaN
Cyp6u1,NaN,NaN,NaN,NaN,NaN,NaN
ubl,NaN,NaN,NaN,NaN,NaN,NaN
phtf,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cul-2,0.26046,0.27253,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG11563-RA,NaN,NaN,NaN,NaN,NaN,NaN
CG11337-RD,0.71157,0.39862,1.987,0.68324,NaN,NaN
mRpL32,NaN,NaN,1.8659,NaN,NaN,NaN
qless,NaN,NaN,NaN,NaN,NaN,NaN
CG1544,NaN,0.25402,0.25795,0.34928,0.26673,0.45695
Npc2h,NaN,NaN,NaN,NaN,NaN,NaN
CG2224-RA,NaN,NaN,NaN,NaN,NaN,NaN
mRpS18C,NaN,NaN,NaN,NaN,NaN,NaN
CG34317-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.65925,NaN,NaN,0.95145,NaN
Tace,NaN,NaN,NaN,NaN,NaN,NaN
,0.94804,0.90151,0.83082,0.91788,0.9493,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
eIF2B-alpha,NaN,NaN,NaN,NaN,NaN,NaN
yata,NaN,NaN,NaN,NaN,NaN,NaN
IntS11,NaN,NaN,NaN,NaN,NaN,NaN
CG1969;CG1969-RB,NaN,NaN,NaN,NaN,0.73892,NaN
CG7598,NaN,NaN,1.7666,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Bub3,NaN,NaN,NaN,NaN,NaN,NaN
Spase12,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.95748,1.5033,NaN,NaN,NaN
Mesh1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG11880,NaN,NaN,NaN,NaN,NaN,NaN
alpha-Man-Ib,NaN,NaN,NaN,NaN,NaN,NaN
Cul-5,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.96191,NaN
WASp,2.2483,0.93479,0.80679,NaN,NaN,1.8357
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.25648,NaN,NaN,NaN,NaN
mfrn,NaN,NaN,1.4467,NaN,NaN,NaN
BCAS2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.39916,NaN,NaN,NaN
Sce,NaN,NaN,NaN,NaN,NaN,NaN
CG12883-RA,NaN,NaN,NaN,NaN,NaN,NaN
RpS10a,NaN,NaN,NaN,NaN,NaN,2.2133
raps,NaN,NaN,NaN,0.89631,NaN,0.37427
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,1.1975,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.6577,NaN,NaN
,2.0354,NaN,NaN,NaN,NaN,NaN
CG6073,NaN,0.67185,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
RpL34a,0.45752,NaN,0.58554,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Mst57Da,0.039636,0.066451,0.21765,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Dhap-at,NaN,NaN,NaN,NaN,NaN,NaN
Vps33B,NaN,NaN,NaN,NaN,NaN,NaN
alrm,NaN,NaN,NaN,NaN,0.52331,NaN
,1.0361,0.74318,NaN,0.65437,NaN,0.70269
CG31370-RB,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,0.41521,0.76211,0.36837,0.36003,0.46525,0.41147
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.75523,NaN,NaN,NaN,NaN
Nup37,NaN,NaN,NaN,NaN,NaN,NaN
to,NaN,0.58962,NaN,0.43712,0.34606,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG10420,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Clbn,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
PQBP1,NaN,NaN,NaN,NaN,NaN,NaN
CG13644,1.8025,1.4812,1.5632,1.453,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
polybromo,NaN,NaN,NaN,NaN,NaN,NaN
Rpb10,NaN,NaN,NaN,NaN,NaN,NaN
Syx18,NaN,NaN,NaN,NaN,NaN,NaN
CG5789-RA,NaN,NaN,NaN,NaN,NaN,NaN
,0.72585,0.63127,NaN,NaN,NaN,0.38327
,NaN,NaN,NaN,NaN,NaN,NaN
Dis3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,1.7329,1.5763,NaN,NaN
mask,NaN,NaN,NaN,NaN,NaN,NaN
CG5515-RA,NaN,NaN,NaN,NaN,NaN,NaN
mRpS24,NaN,NaN,NaN,NaN,NaN,NaN
Kal1,NaN,NaN,NaN,NaN,NaN,NaN
CG5463,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ndc1,NaN,NaN,NaN,NaN,NaN,NaN
eIF4G2,NaN,NaN,NaN,NaN,NaN,NaN
mbc,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,1.1126,NaN,NaN,NaN,NaN,1.7844
CG10214,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,1.5545
EloA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.2446,0.22619
,1.0136,0.95887,1.239,0.97927,0.82248,0.84415
CG13830-RB,NaN,NaN,NaN,NaN,NaN,NaN
,1.0644,0.92625,0.99051,0.70822,0.90109,0.72189
klg,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Usp12-46,NaN,NaN,NaN,NaN,NaN,NaN
CG13841-RA,NaN,NaN,2.4849,2.4442,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
HP1c,NaN,NaN,NaN,NaN,NaN,1.0125
CG6982-RC,NaN,NaN,NaN,NaN,NaN,NaN
Cyp6d4,NaN,NaN,NaN,NaN,NaN,NaN
Nup133,NaN,NaN,NaN,NaN,NaN,NaN
mRpL45,NaN,0.8564,NaN,NaN,NaN,NaN
EF-G2,NaN,NaN,NaN,NaN,NaN,NaN
CSN6,NaN,NaN,3.3187,0.7557,0.56273,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Pebp1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG5382,NaN,NaN,NaN,NaN,NaN,NaN
Cchl,NaN,1.2212,NaN,NaN,NaN,NaN
lsn,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Oga,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG5862,NaN,NaN,1.3319,NaN,NaN,1.7609
Ubpy,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.9681,NaN,0.64203,0.6682,0.69005
sec15,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP93B,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
RpS30,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,1.7614,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
psidin,0.33614,0.59129,NaN,NaN,NaN,NaN
Xport,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP92B,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG6231-RD,NaN,NaN,NaN,NaN,NaN,NaN
Dys,NaN,NaN,NaN,0.74261,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mRpL55,NaN,NaN,NaN,NaN,NaN,NaN
,1.4023,NaN,NaN,1.1887,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
snRNP-U1-C,NaN,NaN,NaN,NaN,NaN,NaN
Smu1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cpsf73,NaN,NaN,NaN,NaN,NaN,NaN
CstF-64,NaN,NaN,NaN,NaN,NaN,NaN
CG7694,NaN,NaN,NaN,NaN,NaN,NaN
Nup43,NaN,NaN,NaN,NaN,NaN,NaN
PKD,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Rpb4,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG7993,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ssdp,NaN,NaN,NaN,NaN,NaN,NaN
Prx5-RA,0.94129,NaN,NaN,NaN,1.1206,0.86149
,NaN,0.43857,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG7477,NaN,NaN,NaN,NaN,NaN,NaN
AttD,NaN,NaN,NaN,NaN,NaN,NaN
SF1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mRpS11,0.96474,0.72921,NaN,NaN,NaN,NaN
Patr-1,NaN,NaN,NaN,NaN,NaN,NaN
,0.43722,0.34613,0.7356,0.58023,0.47542,0.44106
CG17556-RA,NaN,NaN,NaN,NaN,NaN,NaN
modSP,NaN,NaN,NaN,NaN,NaN,NaN
CG10326,NaN,NaN,NaN,NaN,NaN,NaN
mRpS33,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG17931,NaN,NaN,NaN,NaN,NaN,NaN
Sulf1,NaN,NaN,NaN,NaN,NaN,NaN
Bin1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.48301,NaN,NaN,NaN
sxe2,NaN,NaN,NaN,0.72476,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Hmt-1,0.34296,NaN,NaN,NaN,0.33897,0.47905
alpha-Man-IIb,NaN,NaN,NaN,NaN,NaN,NaN
Acyp2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
ldlCp,NaN,NaN,NaN,NaN,NaN,NaN
CG12258,NaN,NaN,NaN,NaN,NaN,NaN
Aats-ser,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,1.0356,NaN,0.32713,0.96493,1.2166
mRpL9,NaN,0.71659,NaN,NaN,NaN,NaN
Rpb7,NaN,NaN,NaN,NaN,NaN,NaN
Mf,NaN,NaN,NaN,NaN,NaN,NaN
Nup93-2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Pde6,0.25064,0.56398,NaN,NaN,0.24892,NaN
mRpL11,NaN,NaN,NaN,NaN,NaN,NaN
Aats-met,NaN,0.92458,NaN,NaN,NaN,0.80549
Npc2b,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cht5,NaN,NaN,NaN,NaN,NaN,NaN
ninaB,NaN,NaN,NaN,NaN,NaN,NaN
flfl,NaN,NaN,NaN,NaN,NaN,NaN
rin,NaN,0.847,NaN,NaN,NaN,NaN
poly,NaN,0.58897,NaN,0.50281,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,0.3889,0.36766,NaN,0.25546,0.34937,0.37384
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.51746,NaN,0.46312,0.38639,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG5608-RA,0.32287,NaN,NaN,NaN,NaN,NaN
CG5641,0.68971,0.89628,NaN,NaN,0.80864,NaN
CG17202,NaN,NaN,NaN,NaN,NaN,NaN
Dip-C,0.45787,0.49631,NaN,0.55096,NaN,NaN
GstD5,NaN,NaN,NaN,NaN,NaN,NaN
GstD10,NaN,NaN,NaN,NaN,NaN,NaN
MBD-R2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG3532-RB,NaN,NaN,NaN,NaN,NaN,NaN
Cad87A,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
ClC-a,NaN,NaN,NaN,NaN,NaN,NaN
Lk6,NaN,NaN,NaN,NaN,NaN,NaN
,0.93391,0.73264,1.3385,NaN,3.1305,0.67087
,NaN,NaN,NaN,NaN,NaN,NaN
Elp1,NaN,NaN,NaN,NaN,NaN,NaN
wkd,NaN,NaN,0.23942,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ranbp9,NaN,NaN,NaN,NaN,NaN,NaN
Arfip,NaN,NaN,NaN,0.50193,NaN,NaN
CG14701,NaN,NaN,NaN,NaN,NaN,NaN
CG17726,NaN,NaN,NaN,NaN,0.23282,0.30792
CG6693,NaN,NaN,NaN,NaN,NaN,NaN
Ugt35a,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.81036,NaN,NaN,NaN,0.6226
,1.171,1.0406,NaN,1.1773,0.85527,0.91903
Art1,0.74517,NaN,NaN,0.70534,NaN,0.61656
mRpL37,0.81938,0.64269,1.2233,0.69602,NaN,NaN
,0.42087,2.2347,0.4456,0.58556,0.59356,0.63066
Bruce,NaN,0.30405,NaN,0.23094,0.15979,NaN
Invadolysin,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Art4,NaN,NaN,NaN,NaN,NaN,NaN
CG12945-RB,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG9396-RA,NaN,NaN,NaN,NaN,NaN,NaN
Vps45,NaN,NaN,NaN,NaN,NaN,NaN
,0.98661,0.79816,0.92871,0.76732,0.8471,NaN
by,0.80376,NaN,NaN,0.75027,NaN,NaN
CG9363,NaN,0.5385,NaN,NaN,0.56783,NaN
CG18473,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Vps16A,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.87342,NaN
hyx,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.1667,NaN,NaN
RagA-B,NaN,NaN,NaN,NaN,NaN,NaN
CAHbeta,NaN,NaN,NaN,NaN,NaN,NaN
pyd,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.99921,NaN,1.1269,NaN,NaN
,NaN,NaN,NaN,1.7198,NaN,NaN
CG9773,NaN,NaN,NaN,NaN,NaN,NaN
mRpL19,1.7631,1.899,1.8868,NaN,2.5088,2.5034
CG8021-RA,2.8225,3.4611,NaN,3.2036,3.3865,2.313
mRpS18A,1.9838,NaN,NaN,NaN,NaN,NaN
PQBP-1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Atg13,NaN,NaN,NaN,NaN,NaN,NaN
tex,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Gie,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.4951,0.39945,0.39796
unc-45,0.2537,0.1526,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
wtrw,NaN,NaN,NaN,NaN,NaN,NaN
Neurochondrin,0.21063,0.18322,0.25133,0.56328,NaN,0.42749
CG1104,0.55045,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Dpck,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
lap,NaN,0.89597,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
alpha-Est8,NaN,NaN,NaN,NaN,NaN,NaN
l(2)k14505,NaN,NaN,NaN,NaN,NaN,NaN
Mcm10,NaN,NaN,NaN,NaN,NaN,NaN
CG9246,NaN,NaN,NaN,NaN,NaN,NaN
CG12050-RB,NaN,NaN,NaN,NaN,NaN,NaN
CG31676-RA,1.2582,0.93182,1.3806,1.6996,1.2335,1.5121
Spn38F,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ns4,NaN,NaN,NaN,NaN,NaN,NaN
CG9319-RA,NaN,0.5119,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,1.0525,NaN,NaN,NaN,NaN,NaN
,NaN,1.9236,NaN,2.1321,NaN,NaN
Arc-p34,1.4258,1.1938,1.2204,1.005,NaN,1.5065
mRpS18B,0.76377,NaN,0.66204,NaN,NaN,NaN
vls,NaN,NaN,NaN,NaN,NaN,NaN
Hf,NaN,NaN,NaN,1.0557,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
