Gene names, Alpha A53T_day_30, Control _day_30
Ptp10D,#DIV/0!,#DIV/0!
wupA,2.558282813,2.542733594
Def,#DIV/0!,#DIV/0!
cin,0.424358438,0.423770781
Bx42,#DIV/0!,#DIV/0!
ph-p;ph-d,#DIV/0!,#DIV/0!
exd,#DIV/0!,#DIV/0!
Arf102F,#DIV/0!,#DIV/0!
Arf51F,#DIV/0!,#DIV/0!
TfIIFbeta,#DIV/0!,#DIV/0!
01-Sep,#DIV/0!,#DIV/0!
Moe,#DIV/0!,#DIV/0!
dhd,#DIV/0!,#DIV/0!
TpnC47D,0.153338438,0.154053281
CanB,1.413865625,1.418567188
CanA1,#DIV/0!,#DIV/0!
Pp1alpha-96A,#DIV/0!,#DIV/0!
Eip63F-1,#DIV/0!,#DIV/0!
Pu,#DIV/0!,#DIV/0!
dia,#DIV/0!,#DIV/0!
Argk,0.35844625,0.359211875
trpl,0.313407344,0.314408828
mnb,#DIV/0!,#DIV/0!
Taf6,#DIV/0!,#DIV/0!
cni,#DIV/0!,#DIV/0!
Srp19,#DIV/0!,#DIV/0!
Ahcy89E,0.381794219,0.386265391
dsh,#DIV/0!,#DIV/0!
hyd,#DIV/0!,#DIV/0!
Pfk,#DIV/0!,#DIV/0!
TfIIA-L,#DIV/0!,#DIV/0!
alpha-Man-I,#DIV/0!,#DIV/0!
Mlp60A,#DIV/0!,#DIV/0!
a5,#DIV/0!,#DIV/0!
Pbprp5,#DIV/0!,#DIV/0!
g,#DIV/0!,#DIV/0!
mtSSB,1.92205625,1.910071875
Pros54,0.674777031,0.674453984
faf,0.492714844,0.498612578
RpS3A,#DIV/0!,#DIV/0!
betaTub85D,#DIV/0!,#DIV/0!
140up,#DIV/0!,#DIV/0!
CG7740,0.682820938,0.677629531
Lcp9,#DIV/0!,#DIV/0!
wibg,#DIV/0!,#DIV/0!
primo-1,#DIV/0!,#DIV/0!
Stim,0.371063125,0.373398438
Wsck,#DIV/0!,#DIV/0!
Pi3K92E,#DIV/0!,#DIV/0!
Rh5,#DIV/0!,#DIV/0!
mGluRA,#DIV/0!,#DIV/0!
SamDC,0.970829375,0.986655313
14-3-3epsilon,#DIV/0!,#DIV/0!
14-3-3epsilon,#DIV/0!,#DIV/0!
14-3-3epsilon,#DIV/0!,#DIV/0!
Lcp65Ac,#DIV/0!,#DIV/0!
Lcp65Ab1,#DIV/0!,#DIV/0!
Lcp65Ag1,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!
cpo,1.252215625,1.250192188
r-l,0.36893875,0.368348125
Rbp1,#DIV/0!,#DIV/0!
hts,#DIV/0!,#DIV/0!
Cpn,#DIV/0!,#DIV/0!
cact,#DIV/0!,#DIV/0!
for,0.405118125,0.409730938
Dr,#DIV/0!,#DIV/0!
sas,0.70674875,0.711298125
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Galpha73B,#DIV/0!,#DIV/0!
Ssrp,#DIV/0!,#DIV/0!
SmB,#DIV/0!,#DIV/0!
TfIIFalpha,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Vm34Ca,#DIV/0!,#DIV/0!
Arf84F,#DIV/0!,#DIV/0!
ImpL2,#DIV/0!,#DIV/0!
hig,#DIV/0!,#DIV/0!
fd68A,#DIV/0!,#DIV/0!
Hexo1,2.650165938,2.692972031
MEP-1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Vdup1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
btv,#DIV/0!,#DIV/0!
Sema-1a,#DIV/0!,#DIV/0!
CG17224-RB,#DIV/0!,#DIV/0!
Hil,#DIV/0!,#DIV/0!
SRPK,#DIV/0!,#DIV/0!
aPKC,0.461911094,0.460371953
,#DIV/0!,#DIV/0!
Dscam,0.389090781,0.392144609
CG40286-RA,#DIV/0!,#DIV/0!
p120ctn,1.076563125,1.095178438
,#DIV/0!,#DIV/0!
,0.426507344,0.427278828
Tao,0.593675938,0.592312031
Pfrx,0.935434375,0.938137813
Myo10A,#DIV/0!,#DIV/0!
Imp,#DIV/0!,#DIV/0!
CG32699,#DIV/0!,#DIV/0!
sgg,#DIV/0!,#DIV/0!
CG13366-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
SP1029,0.224161563,0.223981719
,#DIV/0!,#DIV/0!
mld,#DIV/0!,#DIV/0!
CG17271-RB,#DIV/0!,#DIV/0!
Mhcl,0.244410313,0.244329844
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mtd,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Dap160,1.224916406,1.230229297
Myo61F,#DIV/0!,#DIV/0!
qua,#DIV/0!,#DIV/0!
fliI,0.133044688,0.133082656
anon-i1,#DIV/0!,#DIV/0!
b,#DIV/0!,#DIV/0!
Snr1,#DIV/0!,#DIV/0!
TH1,#DIV/0!,#DIV/0!
Stat92E,#DIV/0!,#DIV/0!
Deaf1,#DIV/0!,#DIV/0!
hk,0.285405938,0.288999531
RhoL,0.697259063,0.703020469
Aph-4,#DIV/0!,#DIV/0!
mew,#DIV/0!,#DIV/0!
SmF,0.671015156,0.666277422
Iap2,#DIV/0!,#DIV/0!
lin19,0.528826719,0.535281641
Dp,#DIV/0!,#DIV/0!
Dsor1,0.716755,0.7228525
Taf2,#DIV/0!,#DIV/0!
e(r),#DIV/0!,#DIV/0!
alpha-Man-II,#DIV/0!,#DIV/0!
Rbf,#DIV/0!,#DIV/0!
RpA-70,#DIV/0!,#DIV/0!
Ubp64E,2.051944688,2.077292656
e(y)1,#DIV/0!,#DIV/0!
l(2)not,#DIV/0!,#DIV/0!
a10,#DIV/0!,#DIV/0!
Nos,#DIV/0!,#DIV/0!
Prat,#DIV/0!,#DIV/0!
PpV,#DIV/0!,#DIV/0!
RhoGAP1A,0.571425781,0.566394609
Cdep,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG33977-RA,#DIV/0!,#DIV/0!
Etl1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
yki,#DIV/0!,#DIV/0!
Acp54A1,#DIV/0!,#DIV/0!
fbl6,#DIV/0!,#DIV/0!
Rip11,#DIV/0!,#DIV/0!
Myo95E,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
His1:CG33801,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,3.18708125,3.125259375
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cpr92A,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RanBPM,0.30620375,0.306123125
,0.416075188,0.406743406
Nf1,#DIV/0!,#DIV/0!
7B2,#DIV/0!,#DIV/0!
,0.750192969,0.744926016
pog,#DIV/0!,#DIV/0!
CoRest,#DIV/0!,#DIV/0!
upd3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cul-4,0.353296719,0.354661641
,#DIV/0!,#DIV/0!
CG17698-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG40486-RB,#DIV/0!,#DIV/0!
zyd,#DIV/0!,#DIV/0!
Dbp80,0.427349219,0.423830391
LRRK2,#DIV/0!,#DIV/0!
Sin3A,0.677694375,0.668925313
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
lectin-30A,#DIV/0!,#DIV/0!
Rpb12,#DIV/0!,#DIV/0!
,1.074562969,1.072633516
,1.55325625,1.542971875
Sfp26Ad,#DIV/0!,#DIV/0!
inaF-C,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Nmdar2,#DIV/0!,#DIV/0!
,0.438765469,0.438139766
BEST:GH10831,#DIV/0!,#DIV/0!
nuf,#DIV/0!,#DIV/0!
CG1675,#DIV/0!,#DIV/0!
Pde8,#DIV/0!,#DIV/0!
gfzf,0.535004063,0.530577969
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Spt-I,#DIV/0!,#DIV/0!
pgant5,#DIV/0!,#DIV/0!
prod,0.549863281,0.545540859
Atg9,#DIV/0!,#DIV/0!
Rs1,#DIV/0!,#DIV/0!
Las,#DIV/0!,#DIV/0!
SNF4Agamma,1.270321563,1.285134219
VhaAC45,#DIV/0!,#DIV/0!
CAP,#DIV/0!,#DIV/0!
Nmda1,#DIV/0!,#DIV/0!
CG30190;CG30193,#DIV/0!,#DIV/0!
casp,#DIV/0!,#DIV/0!
jp,#DIV/0!,#DIV/0!
Arc2,#DIV/0!,#DIV/0!
Aps,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mRpL18,#DIV/0!,#DIV/0!
Obp49a,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Rcd-1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
GstE11,0.850074688,0.856437656
,#DIV/0!,#DIV/0!
CG11007,#DIV/0!,#DIV/0!
mRpL52,0.888526875,0.884646563
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Prx2540-2,#DIV/0!,#DIV/0!
EndoG,1.4200625,1.41461875
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Vps25,#DIV/0!,#DIV/0!
Atg7,0.406677188,0.406386406
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
synaptogyrin,#DIV/0!,#DIV/0!
GstE14,1.45495,1.459675
,#DIV/0!,#DIV/0!
ClC-b,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pex11,#DIV/0!,#DIV/0!
Rpb5,#DIV/0!,#DIV/0!
mRpL41,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cpr47Eg,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mRpL42,#DIV/0!,#DIV/0!
Nup50,0.318180313,0.319674844
Mob4,#DIV/0!,#DIV/0!
,0.398211563,0.398039219
Spred,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.979902813,0.978613594
,#DIV/0!,#DIV/0!
Syx7,2.603587188,2.644901406
CG5033,#DIV/0!,#DIV/0!
twin,0.724929063,0.734685469
l(2)NC136,0.896325,0.8862375
,#DIV/0!,#DIV/0!
mip40,#DIV/0!,#DIV/0!
Map60,#DIV/0!,#DIV/0!
CG6491,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RpLP0-like,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Ciao1,0.410262031,0.409368984
,#DIV/0!,#DIV/0!
CG7137,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.665800938,0.664134531
CG16804,0.236273281,0.237015859
Nup44A,#DIV/0!,#DIV/0!
,0.212241406,0.211736797
,0.301454219,0.304405391
,#DIV/0!,#DIV/0!
fusl,#DIV/0!,#DIV/0!
Tsp42Ej,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Elp2,#DIV/0!,#DIV/0!
Cct1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG8892-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Tsp42El,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mlt,#DIV/0!,#DIV/0!
,0.253139953,0.256786773
,#DIV/0!,#DIV/0!
scaf,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Spn42Da,#DIV/0!,#DIV/0!
Sara,0.489819688,0.489275156
Spn43Aa,0.441239063,0.446015469
Obp56f,#DIV/0!,#DIV/0!
Obp51a,#DIV/0!,#DIV/0!
Alk,#DIV/0!,#DIV/0!
sxc,0.300991094,0.298521953
BcDNA.GH04637;BcDNA:GH04637,0.47515875,0.479665625
Sema-1b,#DIV/0!,#DIV/0!
Eip63E,#DIV/0!,#DIV/0!
nito,0.480119688,0.479462656
fat-spondin,#DIV/0!,#DIV/0!
Fpps,0.378034375,0.380002813
Ppcs,1.533812813,1.493003594
Mad1,#DIV/0!,#DIV/0!
qkr54B,3.582761563,3.446339219
CG11148,#DIV/0!,#DIV/0!
bt,#DIV/0!,#DIV/0!
heph,0.34377,0.342695
,#DIV/0!,#DIV/0!
CG1646,#DIV/0!,#DIV/0!
btz,#DIV/0!,#DIV/0!
exo84,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Mpc1,#DIV/0!,#DIV/0!
Aos1,0.413272813,0.416423594
,#DIV/0!,#DIV/0!
Csk,#DIV/0!,#DIV/0!
CG11870-RD,#DIV/0!,#DIV/0!
mdy,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
nAcRalpha-34E,#DIV/0!,#DIV/0!
NimB2,#DIV/0!,#DIV/0!
BG:DS01368.1,#DIV/0!,#DIV/0!
Ca-beta,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Rtnl1,#DIV/0!,#DIV/0!
,0.71128625,0.710546875
asparagine-synthetase,#DIV/0!,#DIV/0!
,0.295516563,0.295566719
CG15445-RD,#DIV/0!,#DIV/0!
lqf,0.819042813,0.820233594
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.363245625,0.364447188
,#DIV/0!,#DIV/0!
Lmpt,#DIV/0!,#DIV/0!
Fibp,#DIV/0!,#DIV/0!
Alr,#DIV/0!,#DIV/0!
chas,#DIV/0!,#DIV/0!
msn,0.622648438,0.615900781
trio,#DIV/0!,#DIV/0!
MESK2,0.605858281,0.614440859
AP-1gamma,#DIV/0!,#DIV/0!
spoon,#DIV/0!,#DIV/0!
Syx4,#DIV/0!,#DIV/0!
CG32809,#DIV/0!,#DIV/0!
DAAM,#DIV/0!,#DIV/0!
Rab4,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG17528,#DIV/0!,#DIV/0!
CG12567-RA;CG12567-RD,#DIV/0!,#DIV/0!
Tim17b,#DIV/0!,#DIV/0!
CG40470-RA,#DIV/0!,#DIV/0!
Sema-5c,#DIV/0!,#DIV/0!
lola,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Tbh,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Doa,#DIV/0!,#DIV/0!
Doa,0.257665938,0.258774531
unk,#DIV/0!,#DIV/0!
mod(mdg4),0.762881875,0.766419063
CG33098-RB,#DIV/0!,#DIV/0!
Mical,0.317099844,0.317940078
eca;p24-2,1.009485625,1.008097188
tacc,0.732204375,0.728012813
CG10517,#DIV/0!,#DIV/0!
Zasp66,#DIV/0!,#DIV/0!
Zasp66,0.310210938,0.308652031
Rab14,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mRpL27,#DIV/0!,#DIV/0!
Plip,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG11097,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Hip1,#DIV/0!,#DIV/0!
HDAC6,0.30992875,0.306975625
Nelf-A,#DIV/0!,#DIV/0!
Vmat,#DIV/0!,#DIV/0!
CG6166,0.947806563,0.954851719
grass,#DIV/0!,#DIV/0!
,0.32332375,0.323848125
,0.282306094,0.279634453
vsg,#DIV/0!,#DIV/0!
gammaCop,0.183135094,0.184523953
gammaCop,#DIV/0!,#DIV/0!
qtc,#DIV/0!,#DIV/0!
mRpS21,0.236215781,0.237242109
,#DIV/0!,#DIV/0!
Acph-1,#DIV/0!,#DIV/0!
hoe1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Tm1,#DIV/0!,#DIV/0!
unc-13,2.128502188,2.164383906
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Asator,#DIV/0!,#DIV/0!
CstF-50,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Sap-r,#DIV/0!,#DIV/0!
CG2246-RB;CG2246-RA,#DIV/0!,#DIV/0!
CG7829-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
alph,0.514172969,0.517276016
,#DIV/0!,#DIV/0!
CG5508-RC;BcDNA.GH07066,#DIV/0!,#DIV/0!
CG31064-RB,0.39520625,0.393706875
CG5484-RB;CG5484-RA,#DIV/0!,#DIV/0!
scrib,#DIV/0!,#DIV/0!
msi,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Miro,#DIV/0!,#DIV/0!
Dph5,#DIV/0!,#DIV/0!
lqfR,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
GABA-B-R2,#DIV/0!,#DIV/0!
CG31205-RB,#DIV/0!,#DIV/0!
att-ORFA,#DIV/0!,#DIV/0!
Akt1,#DIV/0!,#DIV/0!
CR31292;CG3303-RA,#DIV/0!,#DIV/0!
Trax,#DIV/0!,#DIV/0!
Art3,#DIV/0!,#DIV/0!
CG31321-RB,#DIV/0!,#DIV/0!
CG12213-RB,1.006533906,1.017758047
,#DIV/0!,#DIV/0!
SelR,#DIV/0!,#DIV/0!
stck,#DIV/0!,#DIV/0!
Fas3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Tpr2,#DIV/0!,#DIV/0!
BG:DS07473.1,#DIV/0!,#DIV/0!
mRpS23,0.503736719,0.502411641
Sec71,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
dUTPase,#DIV/0!,#DIV/0!
CYLD,#DIV/0!,#DIV/0!
Akap200,#DIV/0!,#DIV/0!
CG8372-RB,#DIV/0!,#DIV/0!
,0.308602344,0.310726328
Bsg,#DIV/0!,#DIV/0!
Ndae1,#DIV/0!,#DIV/0!
,0.503143125,0.505938438
CG11321-RC,#DIV/0!,#DIV/0!
mmy,0.2933125,0.28746375
stai,#DIV/0!,#DIV/0!
CG31915,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG31522-RA;CG9798,#DIV/0!,#DIV/0!
CRMP,#DIV/0!,#DIV/0!
,0.7266025,0.72356875
Rrp40,#DIV/0!,#DIV/0!
,1.204771875,1.202414063
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG32368-RA,#DIV/0!,#DIV/0!
BI-1;CG7188,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG32032-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
scramb1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Mob2,0.322803594,0.321993203
Sap130,#DIV/0!,#DIV/0!
CG7656-RA,#DIV/0!,#DIV/0!
l(3)72Dp,#DIV/0!,#DIV/0!
ClC-c,#DIV/0!,#DIV/0!
Mbs,0.340289844,0.336777578
Pdh,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
verm,0.304064844,0.303337578
Nup205,#DIV/0!,#DIV/0!
CoVIb,#DIV/0!,#DIV/0!
vap,#DIV/0!,#DIV/0!
CG32581-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
bif,5.287878125,5.399810938
YT521-B,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
gry,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
dre4,#DIV/0!,#DIV/0!
CG2199,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Glut1,#DIV/0!,#DIV/0!
CG16940-RC,#DIV/0!,#DIV/0!
CG10962-RB,#DIV/0!,#DIV/0!
Sirt4,#DIV/0!,#DIV/0!
Obp57b,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG30010,#DIV/0!,#DIV/0!
Coq9,#DIV/0!,#DIV/0!
HSPC300,#DIV/0!,#DIV/0!
,0.507834063,0.508287969
Spn42Da,#DIV/0!,#DIV/0!
CG30427-RC,0.230597656,0.231603672
Reps,#DIV/0!,#DIV/0!
viaf,0.351291875,0.350421563
,#DIV/0!,#DIV/0!
l(2)08717,#DIV/0!,#DIV/0!
KrT95D,#DIV/0!,#DIV/0!
mRpL35,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG13638,#DIV/0!,#DIV/0!
lva,0.423829375,0.422555313
Yippee,#DIV/0!,#DIV/0!
ns1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
GalNAc-T2,0.459227031,0.457248984
Obp83g,0.410582969,0.410871016
Atx2,0.377232969,0.376786016
,#DIV/0!,#DIV/0!
EG:171D11.2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Art8,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pis,#DIV/0!,#DIV/0!
kuk,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
TBPH,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
GV1,#DIV/0!,#DIV/0!
Ance-3,#DIV/0!,#DIV/0!
gw,#DIV/0!,#DIV/0!
CG43154,#DIV/0!,#DIV/0!
,1.094453906,1.095010547
,#DIV/0!,#DIV/0!
,0.685296094,0.688501953
CG17159,#DIV/0!,#DIV/0!
,0.390215,0.3881375
l(2)09851,#DIV/0!,#DIV/0!
mRpS5,0.295131875,0.294176563
,#DIV/0!,#DIV/0!
CG17683,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.427800625,0.428089688
Spn43Ad,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG7117,#DIV/0!,#DIV/0!
Golgin84,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Dim1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
NT5E-2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
rumi,#DIV/0!,#DIV/0!
CG14722,#DIV/0!,#DIV/0!
Tsp,#DIV/0!,#DIV/0!
,0.679421563,0.675304219
CenB1A,#DIV/0!,#DIV/0!
Idgf5,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
hpo,#DIV/0!,#DIV/0!
BEST:CK00246,#DIV/0!,#DIV/0!
obst-E,#DIV/0!,#DIV/0!
beg,0.7966,0.797405
mRpL47,0.5420775,0.54252875
scpr-B;scpr-C;scpr-A,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
ena,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
BEST:CK02213,0.767684063,0.766127969
boca,0.802003438,0.802590781
fdl,#DIV/0!,#DIV/0!
bonsai,0.389388594,0.391990703
BEAF-32,0.45712625,0.456556875
mtacp1,#DIV/0!,#DIV/0!
Rel,#DIV/0!,#DIV/0!
S6k,#DIV/0!,#DIV/0!
U2af38,#DIV/0!,#DIV/0!
Rga,#DIV/0!,#DIV/0!
Dref,1.217873906,1.232420547
Nrx-IV,#DIV/0!,#DIV/0!
jeb,#DIV/0!,#DIV/0!
mats,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG11412,#DIV/0!,#DIV/0!
Tom20,#DIV/0!,#DIV/0!
Git,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG10038,0.497107656,0.490578672
pita,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pask,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG30291,1.20579375,1.202553125
CG11955,#DIV/0!,#DIV/0!
CG7506,1.09494,1.09021
fwe,#DIV/0!,#DIV/0!
Slimp,#DIV/0!,#DIV/0!
CG9798,#DIV/0!,#DIV/0!
CG4953,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG15187,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Mf,#DIV/0!,#DIV/0!
alpha-Est5,#DIV/0!,#DIV/0!
Rpb7,#DIV/0!,#DIV/0!
Mms19,0.27869,0.27972
CG3209-RA,0.351336875,0.351776563
Sap47,#DIV/0!,#DIV/0!
Cep135,#DIV/0!,#DIV/0!
,0.380219375,0.381365313
,#DIV/0!,#DIV/0!
CycK,#DIV/0!,#DIV/0!
lgs,#DIV/0!,#DIV/0!
Cog3,#DIV/0!,#DIV/0!
CG11058,#DIV/0!,#DIV/0!
BG:DS00941.11,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Rala,#DIV/0!,#DIV/0!
Pax,#DIV/0!,#DIV/0!
zip,#DIV/0!,#DIV/0!
Ranbp16,#DIV/0!,#DIV/0!
mbo,#DIV/0!,#DIV/0!
CG4733-RA,#DIV/0!,#DIV/0!
Jupiter,#DIV/0!,#DIV/0!
Jupiter,#DIV/0!,#DIV/0!
,0.498907813,0.499628594
CG8223,0.670146719,0.665811641
,#DIV/0!,#DIV/0!
mRpL36,#DIV/0!,#DIV/0!
CG11505,0.2027775,0.20345625
,#DIV/0!,#DIV/0!
chb,0.313178438,0.313900781
trc,0.402072344,0.400596328
SH3PX1,0.3767,0.375955
Tre1,#DIV/0!,#DIV/0!
ligatin,#DIV/0!,#DIV/0!
GNBP3,#DIV/0!,#DIV/0!
san,0.517138281,0.512538359
Adar,#DIV/0!,#DIV/0!
spt4,#DIV/0!,#DIV/0!
EG:140G11.5,#DIV/0!,#DIV/0!
Surf1,#DIV/0!,#DIV/0!
BcDNA.LD34475,#DIV/0!,#DIV/0!
tty,#DIV/0!,#DIV/0!
Peb,#DIV/0!,#DIV/0!
ECSIT,#DIV/0!,#DIV/0!
Syt4,#DIV/0!,#DIV/0!
csul,#DIV/0!,#DIV/0!
rdgBbeta,#DIV/0!,#DIV/0!
Vps28,#DIV/0!,#DIV/0!
krz,0.880246719,0.879671641
Catsup,0.873506719,0.872119141
Ero1L,#DIV/0!,#DIV/0!
c12.1,#DIV/0!,#DIV/0!
CG9063,#DIV/0!,#DIV/0!
mRpL4,0.376845156,0.377624922
Coprox,#DIV/0!,#DIV/0!
Srp54k,0.309706094,0.309679453
spag,#DIV/0!,#DIV/0!
cyp33,#DIV/0!,#DIV/0!
Nxt1,#DIV/0!,#DIV/0!
Nab2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
wds,#DIV/0!,#DIV/0!
BG:DS09217.4,0.175472188,0.175498906
Cbp20,#DIV/0!,#DIV/0!
TM9SF4,#DIV/0!,#DIV/0!
l(2)35Bc,#DIV/0!,#DIV/0!
Jafrac2,#DIV/0!,#DIV/0!
GABA-B-R1,#DIV/0!,#DIV/0!
Acp36DE,#DIV/0!,#DIV/0!
heix,#DIV/0!,#DIV/0!
SC35,#DIV/0!,#DIV/0!
dare,#DIV/0!,#DIV/0!
CG4500,#DIV/0!,#DIV/0!
x16,1.042277188,1.043946406
BcDNA.LD23634,#DIV/0!,#DIV/0!
ck,#DIV/0!,#DIV/0!
crp,#DIV/0!,#DIV/0!
CG8801,#DIV/0!,#DIV/0!
Smg5,#DIV/0!,#DIV/0!
Met75Ca,#DIV/0!,#DIV/0!
Nup154,#DIV/0!,#DIV/0!
Nup107,#DIV/0!,#DIV/0!
Cul-3,0.275984375,0.275480313
cals,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG10323,#DIV/0!,#DIV/0!
yellow-h,#DIV/0!,#DIV/0!
Hcf,0.508636719,0.505834141
Asator,0.365252344,0.367161328
Cyp4e1,#DIV/0!,#DIV/0!
